"trial","stopped_at_n"
1,850
2,1170
3,360
4,230
5,1710
6,1600
7,1380
8,530
9,1230
10,370
11,670
12,1630
13,50
14,750
15,1600
16,170
17,1250
18,2630
19,950
20,10050
21,420
22,370
23,610
24,760
25,290
26,830
27,10050
28,10050
29,50
30,450
31,1710
32,680
33,90
34,910
35,70
36,320
37,480
38,360
39,10050
40,1120
41,540
42,500
43,880
44,460
45,1310
46,1330
47,220
48,420
49,920
50,790
51,450
52,1900
53,730
54,10050
55,1110
56,10050
57,210
58,500
59,3490
60,2530
61,10050
62,700
63,760
64,10050
65,850
66,680
67,1480
68,730
69,10050
70,1800
71,1400
72,3190
73,860
74,1160
75,2560
76,130
77,540
78,50
79,880
80,2130
81,10050
82,1660
83,270
84,200
85,680
86,950
87,520
88,50
89,230
90,1290
91,200
92,630
93,10050
94,1860
95,50
96,220
97,10050
98,950
99,340
100,580
101,10050
102,1420
103,840
104,10050
105,420
106,370
107,2580
108,250
109,370
110,850
111,50
112,1720
113,650
114,6130
115,990
116,50
117,1910
118,10050
119,540
120,420
121,1190
122,570
123,2060
124,2950
125,970
126,980
127,540
128,1180
129,1040
130,1540
131,1550
132,1060
133,1030
134,700
135,120
136,760
137,1200
138,470
139,660
140,70
141,1360
142,490
143,1090
144,180
145,920
146,1150
147,60
148,2250
149,1190
150,720
151,480
152,520
153,990
154,1790
155,1420
156,340
157,650
158,1010
159,540
160,1280
161,690
162,3570
163,960
164,1450
165,830
166,760
167,1170
168,10050
169,10050
170,260
171,1030
172,1050
173,290
174,170
175,1880
176,420
177,930
178,1260
179,690
180,940
181,650
182,1450
183,740
184,940
185,410
186,1170
187,1170
188,2420
189,1120
190,580
191,50
192,450
193,700
194,1160
195,10050
196,480
197,670
198,980
199,1640
200,1060
201,10050
202,410
203,490
204,1040
205,1280
206,100
207,850
208,600
209,10050
210,1370
211,450
212,50
213,50
214,2310
215,1210
216,470
217,600
218,50
219,1680
220,1620
221,630
222,10050
223,510
224,590
225,850
226,1410
227,1560
228,630
229,390
230,1040
231,300
232,1340
233,170
234,380
235,50
236,1020
237,50
238,50
239,920
240,700
241,2770
242,1460
243,560
244,980
245,520
246,60
247,760
248,540
249,270
250,240
