"trial","stopped_at_n"
1,900
2,350
3,1970
4,1030
5,880
6,1270
7,1000
8,850
9,260
10,850
11,200
12,330
13,620
14,1440
15,410
16,210
17,1580
18,680
19,730
20,300
21,570
22,480
23,770
24,2300
25,1030
26,470
27,300
28,810
29,2340
30,900
31,850
32,770
33,600
34,750
35,240
36,980
37,670
38,1000
39,730
40,710
41,850
42,850
43,1310
44,850
45,1130
46,1000
47,900
48,1270
49,870
50,700
51,920
52,1260
53,780
54,130
55,760
56,620
57,1150
58,870
59,100
60,520
61,640
62,930
63,1040
64,170
65,1150
66,1400
67,730
68,1640
69,1360
70,800
71,1300
72,730
73,1840
74,380
75,1620
76,690
77,510
78,320
79,500
80,320
81,1750
82,510
83,1440
84,280
85,1220
86,940
87,810
88,320
89,370
90,730
91,340
92,800
93,1260
94,120
95,780
96,690
97,1150
98,290
99,660
100,170
101,660
102,1360
103,360
104,210
105,280
106,460
107,170
108,100
109,1410
110,690
111,470
112,320
113,1670
114,940
115,670
116,1410
117,850
118,780
119,410
120,340
121,330
122,540
123,950
124,350
125,230
126,190
127,1400
128,420
129,1170
130,460
131,170
132,1440
133,740
134,1610
135,860
136,390
137,1190
138,850
139,1050
140,110
141,480
142,700
143,1590
144,2380
145,1400
146,240
147,640
148,400
149,1000
150,690
151,1350
152,700
153,1330
154,750
155,230
156,1280
157,500
158,620
159,420
160,890
161,740
162,280
163,1140
164,820
165,390
166,850
167,300
168,560
169,1310
170,120
171,500
172,740
173,1000
174,1270
175,2020
176,100
177,1050
178,1440
179,1170
180,850
181,850
182,1010
183,120
184,870
185,1780
186,1170
187,460
188,690
189,1670
190,1210
191,160
192,270
193,740
194,1110
195,120
196,570
197,670
198,180
199,1220
200,230
201,1160
202,770
203,510
204,170
205,280
206,810
207,480
208,330
209,720
210,550
211,320
212,340
213,1130
214,190
215,1110
216,720
217,350
218,850
219,1190
220,1610
221,1180
222,860
223,530
224,950
225,800
226,290
227,850
228,800
229,1040
230,1440
231,1830
232,500
233,1170
234,900
235,180
236,1040
237,930
238,1520
239,1370
240,430
241,130
242,250
243,620
244,1350
245,870
246,600
247,1020
248,1290
249,740
250,710
