"trial","stopped_at_n"
1,890
2,600
3,330
4,720
5,820
6,750
7,510
8,360
9,230
10,410
11,650
12,50
13,1060
14,480
15,290
16,70
17,1200
18,900
19,2340
20,410
21,850
22,2020
23,1320
24,540
25,320
26,170
27,520
28,190
29,640
30,960
31,50
32,360
33,90
34,600
35,430
36,830
37,1450
38,1110
39,710
40,820
41,1100
42,330
43,80
44,60
45,1150
46,1240
47,1440
48,50
49,1590
50,60
51,610
52,270
53,120
54,1340
55,700
56,670
57,820
58,210
59,320
60,80
61,160
62,610
63,540
64,790
65,870
66,1020
67,50
68,1130
69,1100
70,100
71,500
72,910
73,1390
74,1640
75,500
76,330
77,650
78,760
79,590
80,530
81,410
82,1580
83,300
84,600
85,550
86,90
87,710
88,1450
89,230
90,730
91,250
92,560
93,960
94,570
95,600
96,60
97,580
98,860
99,960
100,90
101,130
102,50
103,1040
104,160
105,480
106,740
107,1890
108,580
109,210
110,70
111,50
112,640
113,1030
114,290
115,1150
116,750
117,100
118,900
119,640
120,280
121,450
122,170
123,380
124,800
125,1020
126,150
127,480
128,510
129,840
130,290
131,740
132,710
133,320
134,1130
135,230
136,580
137,720
138,440
139,510
140,70
141,1390
142,220
143,770
144,320
145,460
146,390
147,900
148,820
149,880
150,1270
151,130
152,170
153,190
154,740
155,820
156,420
157,780
158,410
159,780
160,1660
161,2160
162,1160
163,1070
164,1060
165,280
166,220
167,350
168,1450
169,60
170,820
171,1180
172,1720
173,50
174,1090
175,680
176,660
177,1800
178,160
179,290
180,1390
181,560
182,90
183,2150
184,570
185,1390
186,2000
187,50
188,700
189,1460
190,790
191,70
192,1380
193,450
194,900
195,90
196,400
197,620
198,480
199,190
200,830
201,670
202,170
203,280
204,160
205,730
206,50
207,1950
208,560
209,1200
210,660
211,560
212,1120
213,150
214,1570
215,1510
216,700
217,50
218,360
219,800
220,820
221,80
222,180
223,90
224,990
225,50
226,170
227,480
228,1180
229,780
230,1300
231,990
232,940
233,430
234,110
235,50
236,950
237,900
238,50
239,860
240,1030
241,840
242,90
243,680
244,340
245,590
246,480
247,50
248,750
249,1160
250,50
