"trial","stopped_at_n"
1,2110
2,7980
3,4180
4,5440
5,6630
6,2440
7,180
8,9530
9,1440
10,400
11,5730
12,1480
13,1670
14,2440
15,3730
16,3340
17,4090
18,4130
19,5050
20,8850
21,4900
22,10100
23,3400
24,5110
25,590
26,4450
27,4090
28,1690
29,1390
30,3760
31,2540
32,1670
33,4090
34,7600
35,4530
36,4500
37,450
38,3880
39,3780
40,3020
41,6220
42,3020
43,7020
44,3980
45,2440
46,450
47,2530
48,2630
49,4470
50,7760
51,4490
52,2760
53,4140
54,120
55,3500
56,2640
57,4140
58,1790
59,8050
60,10100
61,1570
62,4420
63,1320
64,1440
65,4460
66,6070
67,1070
68,5640
69,4140
70,1160
71,2160
72,5660
73,7720
74,1440
75,7020
76,2120
77,7610
78,3570
79,7020
80,2430
81,4720
82,1600
83,3180
84,1210
85,5210
86,2070
87,4140
88,4210
89,4140
90,130
91,2820
92,2210
93,3720
94,3720
95,1160
96,2650
97,7680
98,4200
99,120
100,3380
101,1150
102,3070
103,4320
104,2880
105,7840
106,4060
107,4590
108,2260
109,320
110,3590
111,540
112,5740
113,4140
114,6780
115,8090
116,5460
117,1770
118,4300
119,4030
120,8110
121,9930
122,5400
123,2520
124,2030
125,5020
126,1440
127,2440
128,1170
129,7150
130,2350
131,5660
132,4140
133,4140
134,6300
135,4520
136,3980
137,2310
138,6440
139,730
140,6220
141,8100
142,4310
143,2520
144,7020
145,3420
146,1690
147,7380
148,7530
149,5120
150,810
151,2790
152,7020
153,1730
154,2280
155,3700
156,3190
157,2890
158,4860
159,100
160,4790
161,2230
162,2750
163,5740
164,1700
165,2880
166,840
167,3020
168,2040
169,1170
170,4010
171,6910
172,2500
173,3510
174,5030
175,2440
176,4140
177,530
178,6120
179,6270
180,4420
181,4340
182,1860
183,8710
184,2610
185,530
186,4940
187,2200
188,1930
189,4030
190,5740
191,1870
192,5640
193,4210
194,3520
195,3040
196,6070
197,1450
198,860
199,4480
200,3400
201,3220
202,9620
203,380
204,160
205,3680
206,3220
207,4140
208,3370
209,470
210,5060
211,10100
212,170
213,3640
214,100
215,170
216,3360
217,6950
218,100
219,4140
220,4340
221,2320
222,2650
223,2450
224,2440
225,6120
226,4160
227,120
228,7890
229,1830
230,5260
231,3960
232,4470
233,2510
234,780
235,1320
236,1940
237,6460
238,2440
239,6110
240,2340
241,3860
242,4230
243,2300
244,1690
245,5560
246,4310
247,8870
248,1750
249,7020
250,2060
