"trial","stopped_at_n"
1,2320
2,3680
3,2100
4,10050
5,1830
6,2240
7,1970
8,10050
9,3930
10,1580
11,620
12,10050
13,3360
14,1720
15,1660
16,2460
17,80
18,10050
19,4360
20,7280
21,1310
22,550
23,1730
24,2790
25,2200
26,10050
27,1850
28,2030
29,10050
30,10050
31,50
32,100
33,2210
34,2780
35,2400
36,780
37,10050
38,10050
39,1120
40,50
41,810
42,100
43,10050
44,3550
45,600
46,1250
47,1210
48,1150
49,5610
50,200
51,400
52,90
53,980
54,50
55,2510
56,350
57,200
58,6810
59,430
60,2810
61,1650
62,2600
63,1780
64,1990
65,10050
66,2300
67,1050
68,1610
69,340
70,750
71,810
72,6500
73,1850
74,1230
75,1340
76,50
77,7240
78,10050
79,2090
80,2350
81,1140
82,1570
83,1890
84,7000
85,6830
86,3170
87,3190
88,50
89,50
90,4650
91,3310
92,10050
93,1150
94,1320
95,1160
96,1550
97,140
98,940
99,420
100,2780
101,10050
102,1090
103,1220
104,6220
105,1800
106,3300
107,10050
108,10050
109,2490
110,1560
111,950
112,2220
113,10050
114,1580
115,2390
116,3010
117,1050
118,10050
119,10050
120,630
121,10050
122,460
123,10050
124,3360
125,3100
126,1430
127,2230
128,10050
129,1700
130,3160
131,1330
132,2780
133,6180
134,6550
135,2130
136,2140
137,60
138,10050
139,750
140,1590
141,840
142,1510
143,2210
144,10050
145,3780
146,1280
147,1770
148,10050
149,2980
150,2630
151,2200
152,2040
153,1380
154,1020
155,1850
156,690
157,10050
158,10050
159,8170
160,4500
161,2970
162,2410
163,1710
164,2190
165,140
166,2340
167,350
168,50
169,1200
170,1890
171,2710
172,810
173,750
174,600
175,140
176,1250
177,120
178,260
179,3580
180,3690
181,10050
182,10050
183,580
184,480
185,800
186,1670
187,2270
188,4260
189,2020
190,900
191,270
192,400
193,2480
194,720
195,460
196,2150
197,50
198,2310
199,660
200,10050
201,3450
202,10050
203,2720
204,350
205,2890
206,2270
207,10050
208,600
209,430
210,60
211,10050
212,1510
213,3270
214,50
215,2310
216,2400
217,1820
218,4760
219,2670
220,1700
221,10050
222,1770
223,930
224,2550
225,10050
226,3110
227,1120
228,2910
229,1570
230,2670
231,6650
232,870
233,1470
234,2490
235,10050
236,2470
237,1760
238,1670
239,2550
240,1220
241,1190
242,3470
243,1190
244,2130
245,90
246,190
247,5170
248,2120
249,1560
250,4940
