"trial","stopped_at_n"
1,10050
2,10050
3,10050
4,10050
5,10050
6,10050
7,10050
8,10050
9,10050
10,10050
11,10050
12,10050
13,10050
14,10050
15,10050
16,10050
17,10050
18,10050
19,10050
20,10050
21,10050
22,10050
23,10050
24,10050
25,10050
26,10050
27,10050
28,10050
29,10050
30,10050
31,300
32,10050
33,10050
34,10050
35,10050
36,10050
37,10050
38,10050
39,10050
40,10050
41,10050
42,10050
43,10050
44,50
45,10050
46,10050
47,10050
48,10050
49,10050
50,10050
51,10050
52,10050
53,10050
54,10050
55,10050
56,10050
57,60
58,10050
59,10050
60,10050
61,10050
62,10050
63,10050
64,10050
65,10050
66,10050
67,10050
68,10050
69,10050
70,10050
71,10050
72,10050
73,10050
74,10050
75,10050
76,10050
77,10050
78,80
79,10050
80,10050
81,10050
82,10050
83,10050
84,10050
85,10050
86,80
87,10050
88,10050
89,10050
90,10050
91,10050
92,10050
93,10050
94,10050
95,10050
96,10050
97,10050
98,10050
99,10050
100,10050
101,10050
102,10050
103,10050
104,10050
105,10050
106,10050
107,10050
108,50
109,10050
110,10050
111,10050
112,10050
113,10050
114,10050
115,10050
116,10050
117,10050
118,10050
119,130
120,10050
121,10050
122,10050
123,10050
124,10050
125,10050
126,10050
127,10050
128,10050
129,10050
130,10050
131,10050
132,10050
133,10050
134,10050
135,10050
136,10050
137,10050
138,10050
139,10050
140,50
141,10050
142,10050
143,10050
144,10050
145,10050
146,10050
147,10050
148,10050
149,10050
150,10050
151,820
152,50
153,10050
154,10050
155,10050
156,10050
157,10050
158,10050
159,10050
160,10050
161,10050
162,10050
163,10050
164,10050
165,10050
166,10050
167,10050
168,10050
169,10050
170,10050
171,10050
172,490
173,10050
174,10050
175,10050
176,10050
177,10050
178,10050
179,10050
180,10050
181,10050
182,10050
183,10050
184,10050
185,10050
186,10050
187,10050
188,10050
189,10050
190,10050
191,10050
192,10050
193,10050
194,10050
195,10050
196,10050
197,10050
198,10050
199,10050
200,10050
201,10050
202,10050
203,10050
204,10050
205,10050
206,10050
207,10050
208,10050
209,10050
210,10050
211,310
212,10050
213,10050
214,10050
215,10050
216,10050
217,50
218,10050
219,10050
220,10050
221,10050
222,50
223,10050
224,10050
225,10050
226,10050
227,10050
228,10050
229,10050
230,50
231,10050
232,10050
233,10050
234,10050
235,800
236,10050
237,10050
238,10050
239,10050
240,10050
241,10050
242,10050
243,10050
244,10050
245,10050
246,10050
247,10050
248,10050
249,810
250,10050
