"trial","stopped_at_n"
1,1390
2,2010
3,1730
4,2170
5,2200
6,1930
7,90
8,1210
9,1820
10,1830
11,1020
12,620
13,170
14,600
15,2090
16,1540
17,810
18,2450
19,1210
20,120
21,2450
22,120
23,2120
24,620
25,1910
26,2340
27,820
28,3290
29,110
30,3040
31,1390
32,170
33,1380
34,220
35,2490
36,480
37,820
38,2920
39,2190
40,2190
41,1390
42,1300
43,50
44,3970
45,330
46,2350
47,3230
48,3600
49,2010
50,670
51,1020
52,290
53,140
54,1150
55,1310
56,490
57,90
58,980
59,900
60,70
61,1810
62,110
63,50
64,670
65,1720
66,1290
67,1850
68,3030
69,410
70,890
71,670
72,620
73,90
74,150
75,170
76,1040
77,2510
78,50
79,2360
80,4220
81,1400
82,130
83,1520
84,1350
85,830
86,1070
87,1370
88,810
89,530
90,720
91,1500
92,2840
93,270
94,2420
95,1960
96,2350
97,1500
98,450
99,2360
100,1300
101,1460
102,1220
103,800
104,1070
105,940
106,2360
107,990
108,1650
109,2470
110,280
111,390
112,1270
113,1680
114,1600
115,2370
116,1600
117,1490
118,2090
119,2360
120,50
121,3090
122,220
123,900
124,90
125,910
126,1360
127,620
128,1490
129,2560
130,1470
131,1670
132,290
133,1390
134,1380
135,2600
136,1100
137,2270
138,570
139,1330
140,140
141,450
142,960
143,1050
144,4580
145,1710
146,810
147,880
148,820
149,1440
150,1470
151,2170
152,1240
153,2020
154,1190
155,1740
156,1580
157,2160
158,2540
159,1870
160,820
161,1760
162,2150
163,2860
164,1840
165,2300
166,1510
167,2820
168,1970
169,2150
170,1680
171,2360
172,1270
173,1420
174,110
175,2910
176,1240
177,1700
178,1040
179,1950
180,1510
181,1470
182,860
183,480
184,2270
185,3040
186,480
187,3750
188,2650
189,320
190,120
191,1630
192,1390
193,1530
194,1870
195,1390
196,1840
197,3000
198,50
199,560
200,1870
201,2140
202,2170
203,2360
204,2360
205,1050
206,1750
207,730
208,1450
209,720
210,2020
211,2490
212,760
213,1430
214,3860
215,4080
216,3320
217,1030
218,2360
219,1610
220,2030
221,370
222,1600
223,1720
224,2300
225,50
226,1190
227,50
228,2030
229,50
230,860
231,330
232,1410
233,50
234,2890
235,860
236,850
237,4160
238,1160
239,1420
240,1000
241,1000
242,3020
243,230
244,50
245,1330
246,1120
247,3030
248,1130
249,50
250,1040
