"trial","stopped_at_n"
1,170
2,100
3,100
4,180
5,180
6,100
7,290
8,100
9,100
10,130
11,210
12,170
13,300
14,100
15,170
16,220
17,240
18,170
19,170
20,210
21,100
22,140
23,170
24,270
25,180
26,180
27,250
28,290
29,370
30,290
31,170
32,240
33,480
34,140
35,100
36,120
37,120
38,140
39,100
40,110
41,100
42,170
43,260
44,310
45,370
46,470
47,220
48,240
49,170
50,110
51,120
52,100
53,160
54,100
55,290
56,180
57,270
58,230
59,110
60,170
61,120
62,180
63,380
64,310
65,110
66,110
67,240
68,200
69,220
70,250
71,320
72,270
73,170
74,100
75,140
76,250
77,300
78,200
79,180
80,380
81,190
82,170
83,430
84,280
85,100
86,200
87,110
88,530
89,130
90,710
91,330
92,230
93,120
94,140
95,100
96,310
97,100
98,300
99,330
100,210
101,100
102,230
103,120
104,120
105,390
106,160
107,550
108,160
109,150
110,160
111,150
112,270
113,190
114,140
115,160
116,270
117,160
118,260
119,330
120,140
121,150
122,260
123,100
124,330
125,140
126,140
127,110
128,120
129,230
130,290
131,490
132,170
133,100
134,240
135,130
136,300
137,100
138,130
139,170
140,100
141,200
142,290
143,100
144,110
145,210
146,170
147,310
148,340
149,170
150,250
151,320
152,100
153,270
154,320
155,340
156,100
157,180
158,230
159,170
160,220
161,100
162,360
163,440
164,180
165,400
166,470
167,240
168,290
169,220
170,100
171,340
172,130
173,300
174,150
175,190
176,300
177,180
178,260
179,170
180,210
181,280
182,290
183,100
184,120
185,610
186,170
187,110
188,440
189,210
190,100
191,290
192,250
193,240
194,140
195,210
196,140
197,100
198,180
199,170
200,170
201,100
202,130
203,370
204,120
205,340
206,100
207,220
208,370
209,310
210,170
211,260
212,170
213,280
214,160
215,140
216,280
217,170
218,190
219,170
220,130
221,100
222,180
223,180
224,100
225,230
226,280
227,150
228,500
229,240
230,170
231,180
232,140
233,160
234,240
235,100
236,100
237,430
238,200
239,100
240,140
241,100
242,100
243,100
244,150
245,160
246,240
247,160
248,180
249,330
250,100
