"trial","stopped_at_n"
1,280
2,190
3,260
4,180
5,350
6,160
7,100
8,180
9,180
10,360
11,240
12,170
13,50
14,230
15,110
16,70
17,120
18,170
19,170
20,200
21,300
22,130
23,140
24,110
25,180
26,50
27,130
28,280
29,140
30,240
31,60
32,150
33,130
34,460
35,170
36,90
37,150
38,210
39,50
40,100
41,50
42,330
43,80
44,290
45,120
46,260
47,160
48,90
49,260
50,340
51,230
52,200
53,320
54,420
55,110
56,160
57,180
58,190
59,90
60,160
61,90
62,170
63,240
64,120
65,180
66,90
67,350
68,50
69,200
70,120
71,60
72,200
73,210
74,170
75,210
76,150
77,120
78,50
79,160
80,170
81,340
82,80
83,180
84,270
85,260
86,260
87,220
88,270
89,310
90,240
91,280
92,110
93,200
94,160
95,260
96,110
97,300
98,140
99,160
100,90
101,140
102,500
103,300
104,190
105,190
106,160
107,120
108,50
109,270
110,120
111,200
112,50
113,360
114,160
115,100
116,480
117,250
118,190
119,250
120,230
121,180
122,450
123,70
124,110
125,180
126,270
127,90
128,90
129,380
130,130
131,160
132,140
133,160
134,280
135,240
136,130
137,90
138,80
139,90
140,110
141,50
142,60
143,280
144,290
145,200
146,160
147,150
148,50
149,250
150,230
151,200
152,160
153,260
154,120
155,170
156,280
157,280
158,160
159,200
160,140
161,230
162,160
163,360
164,320
165,210
166,340
167,210
168,170
169,260
170,60
171,60
172,480
173,160
174,100
175,440
176,120
177,180
178,210
179,280
180,110
181,160
182,60
183,280
184,150
185,110
186,160
187,100
188,180
189,140
190,150
191,110
192,240
193,160
194,150
195,160
196,90
197,170
198,160
199,440
200,140
201,170
202,130
203,150
204,300
205,120
206,160
207,410
208,60
209,230
210,260
211,250
212,110
213,160
214,120
215,120
216,280
217,220
218,190
219,60
220,310
221,140
222,280
223,160
224,210
225,60
226,160
227,280
228,160
229,260
230,70
231,240
232,80
233,170
234,60
235,180
236,120
237,230
238,130
239,290
240,350
241,310
242,160
243,100
244,170
245,300
246,100
247,100
248,100
249,170
250,170
