"trial","stopped_at_n"
1,170
2,220
3,300
4,430
5,290
6,140
7,170
8,170
9,130
10,100
11,160
12,140
13,290
14,160
15,120
16,100
17,100
18,350
19,180
20,350
21,330
22,240
23,150
24,340
25,210
26,100
27,340
28,110
29,110
30,120
31,170
32,100
33,250
34,260
35,220
36,240
37,280
38,160
39,470
40,280
41,140
42,250
43,170
44,230
45,110
46,500
47,170
48,180
49,190
50,160
51,100
52,210
53,140
54,280
55,140
56,100
57,290
58,170
59,150
60,380
61,180
62,170
63,290
64,100
65,170
66,110
67,110
68,220
69,100
70,210
71,110
72,170
73,260
74,290
75,180
76,350
77,170
78,310
79,240
80,210
81,140
82,190
83,160
84,130
85,280
86,240
87,460
88,310
89,190
90,100
91,170
92,120
93,110
94,100
95,290
96,240
97,140
98,240
99,230
100,260
101,160
102,360
103,120
104,170
105,120
106,500
107,100
108,290
109,160
110,240
111,100
112,100
113,380
114,160
115,180
116,280
117,100
118,190
119,310
120,110
121,230
122,140
123,250
124,240
125,100
126,100
127,450
128,180
129,100
130,160
131,100
132,100
133,100
134,190
135,280
136,300
137,100
138,150
139,140
140,220
141,150
142,180
143,100
144,220
145,100
146,100
147,100
148,210
149,290
150,110
151,290
152,130
153,110
154,220
155,470
156,100
157,180
158,180
159,170
160,340
161,190
162,100
163,110
164,290
165,150
166,120
167,170
168,130
169,280
170,190
171,130
172,100
173,120
174,200
175,160
176,200
177,300
178,100
179,460
180,130
181,120
182,240
183,270
184,190
185,400
186,290
187,100
188,200
189,200
190,240
191,160
192,120
193,130
194,100
195,100
196,250
197,100
198,390
199,250
200,160
201,280
202,110
203,210
204,140
205,100
206,230
207,120
208,140
209,270
210,100
211,100
212,320
213,140
214,150
215,100
216,210
217,130
218,300
219,500
220,200
221,110
222,110
223,200
224,130
225,200
226,330
227,170
228,130
229,300
230,200
231,120
232,200
233,100
234,170
235,170
236,130
237,110
238,200
239,160
240,600
241,240
242,180
243,190
244,290
245,170
246,100
247,110
248,140
249,120
250,150
