"trial","stopped_at_n","T1_","T2_"
1,10100,0.514392497218048,0.505278825162769
2,10100,0.515976895291848,0.500719826599738
3,10100,0.5247869282366,0.507855012542697
4,10100,0.518254162162978,0.503495040983231
5,10100,0.521619896923438,0.513699268250783
6,10100,0.521817856809297,0.510034503717113
7,10100,0.526469129968739,0.504783351706534
8,10100,1,0.01
9,10100,1,0.01
10,10100,1,0.01
11,10100,0.521916835730848,0.5169670555774
12,10100,1,0.01
13,10100,0.520036119787161,0.503594145897542
14,10100,1,0.01
15,10100,1,0.01
16,10100,0.523896271162409,0.512114619610669
17,10100,1,0.01
18,10100,0.52310452967627,0.505179731834433
19,10100,1,0.01
20,10100,1,0.01
21,10100,1,0.01
22,10100,1,0.01
23,10100,1,0.01
24,10100,1,0.01
25,10100,1,0.01
26,10100,0.526271234099611,0.50973731978683
27,10100,0.52409419972391,0.508746662414931
28,10100,1,0.01
29,10100,0.521124985292868,0.515184718042435
30,10100,1,0.01
31,10100,0.532800358754333,0.500818950604069
32,10100,0.518353165595985,0.507656860633545
33,10100,0.522807615382765,0.506170634454344
34,10100,0.523995235783669,0.505972459381465
35,10100,1,0.01
36,10100,1,0.01
37,10100,0.528744736609188,0.507062388556459
38,10100,0.523500405867285,0.504089660245114
39,10100,0.520630056639869,0.500224196348243
40,10100,1,0.01
41,10100,0.524193162983126,0.511124125687816
42,10100,1,0.01
43,10100,1,0.01
44,10100,1,0.01
45,10100,0.514689585133696,0.505972459381465
46,10100,1,0.01
47,10100,1,0.01
48,10100,0.521619896923438,0.504287861213155
49,10100,0.523698339876853,0.510430739422699
50,10100,1,0.01
51,10100,0.525875434187447,0.494870302753025
52,10100,0.523698339876853,0.511421281014932
53,10100,0.523896271162409,0.50726054864049
54,10100,0.523599373212568,0.503395935387296
55,10100,1,0.01
56,10100,1,0.01
57,10100,0.526667023113153,0.506666060213059
58,10100,0.526765968663575,0.505477009775144
59,10100,0.523005558926069,0.507458705999497
60,10100,1,0.01
61,10100,0.524687969063648,0.512213665257647
62,10100,0.521421934313926,0.508449451921393
63,10100,0.523698339876853,0.505972459381465
64,10100,0.517858141622534,0.504882447760712
65,10100,0.528447938790535,0.500620701913435
66,10100,1,0.01
67,10100,0.521520915959137,0.505278825162769
68,10100,0.520234101461561,0.494969467019429
69,10100,1,0.01
70,10100,1,0.01
71,10100,0.523599373212568,0.502206615065146
72,10100,0.525875434187447,0.511322229920217
73,10100,1,0.01
74,10100,0.514491527204136,0.505675191661855
75,10100,0.515778855064602,0.509043866778188
76,10100,1,0.01
77,10100,0.524391087458464,0.501017196566873
78,10100,0.519739142169053,0.501413680309416
79,10100,0.520036119787161,0.50963825711459
80,10100,1,0.01
81,10100,0.527557508543067,0.503098614509626
82,10100,1,0.01
83,10100,1,0.01
84,10100,1,0.01
85,10100,0.529931866558019,0.501512799540323
86,10100,0.525578577101378,0.512213665257647
87,10100,0.529239386012768,0.503594145897542
88,10100,0.520135110964796,0.502206615065146
89,10100,1,0.01
90,10100,1,0.01
91,10100,1,0.01
92,10100,0.514095403174522,0.51201557328274
93,10100,0.531712377474206,0.507557783657137
94,10100,0.527260686197517,0.501215439801954
95,10100,0.515184718042435,0.511223178144513
96,10100,0.519838135389287,0.505080637824651
97,10100,0.527953262132729,0.502107500607032
98,10100,0.519937127928657,0.503792353681335
99,10100,0.52577648250655,0.502900397182847
100,10100,1,0.01
101,10100,1,0.01
102,10100,1,0.01
103,10100,1,0.01
104,10100,0.520729043732245,0.512114619610669
105,10100,0.519640148267956,0.508944799338234
106,10100,0.519541153685999,0.500719826599738
107,10100,1,0.01
108,10100,0.521520915959137,0.510034503717113
109,10100,0.530525394733275,0.505179731834433
110,10100,1,0.01
111,10100,0.5229065874949,0.512411754508764
112,10100,1,0.01
113,10100,0.529832942810217,0.49794407754687
114,10100,0.5169670555774,0.513897337074429
115,10100,1,0.01
116,10100,1,0.01
117,10100,1,0.01
118,10100,0.521322951987809,0.507656860633545
119,10100,0.52409419972391,0.506071547258585
120,10100,0.52053106886661,0.503594145897542
121,10100,1,0.01
122,10100,1,0.01
123,10100,1,0.01
124,10100,0.521718877206826,0.509241999614739
125,10100,0.520828030143736,0.511520331428665
126,10100,0.517264090386665,0.505278825162769
127,10100,0.521124985292868,0.513006005919697
128,10100,1,0.01
129,10100,1,0.01
130,10100,1,0.01
131,10100,1,0.01
132,10100,1,0.01
133,10100,0.523896271162409,0.50250395434887
134,10100,0.520630056639869,0.502107500607032
135,10100,1,0.01
136,10100,0.525677530144525,0.505179731834433
137,10100,0.517363100628075,0.511025072550121
138,10100,0.522213768409942,0.504188761069909
139,10100,1,0.01
140,10100,0.524490048674574,0.506071547258585
141,10100,1,0.01
142,10100,0.52270864258967,0.510529796646492
143,10100,0.5169670555774,0.511025072550121
144,10100,0.527458568442471,0.507161468939107
145,10100,1,0.01
146,10100,0.516769028967025,0.51360023281762
147,10100,0.524687969063648,0.49834064587234
148,10100,0.52260966911562,0.502008385467128
149,10100,0.523599373212568,0.510727909050995
150,10100,1,0.01
151,10100,0.514194435203243,0.512114619610669
152,10100,0.52270864258967,0.503891456550838
153,10100,1,0.01
154,10100,0.52260966911562,0.508449451921393
155,10100,0.525974385187209,0.501711035956553
156,10100,0.525182758117703,0.513897337074429
157,10100,1,0.01
158,10100,1,0.01
159,10100,1,0.01
160,10100,1,0.01
161,10100,1,0.01
162,10100,1,0.01
163,10100,0.516670014640577,0.504585157553711
164,10100,0.519838135389287,0.498836340927134
165,10100,1,0.01
166,10100,0.521817856809297,0.503098614509626
167,10100,0.52775538670046,0.509539193761267
168,10100,0.528744736609188,0.502206615065146
169,10100,0.517066067861328,0.509935443088085
170,10100,0.514986666921528,0.50537791780967
171,10100,1,0.01
172,10100,0.523005558926069,0.511025072550121
173,10100,1,0.01
174,10100,0.522213768409942,0.507557783657137
175,10100,0.521817856809297,0.506467891953554
176,10100,1,0.01
177,10100,0.523005558926069,0.507557783657137
178,10100,0.5229065874949,0.50537791780967
179,10100,0.517957147778906,0.512213665257647
180,10100,0.518155158049129,0.504783351706534
181,10100,1,0.01
182,10100,1,0.01
183,10100,0.521817856809297,0.512411754508764
184,10100,0.520432080412471,0.511520331428665
185,10100,1,0.01
186,10100,0.5247869282366,0.506170634454344
