"trial","stopped_at_n"
1,970
2,540
3,800
4,740
5,680
6,650
7,270
8,850
9,1110
10,680
11,560
12,510
13,290
14,750
15,760
16,800
17,140
18,180
19,670
20,1130
21,640
22,680
23,1070
24,640
25,290
26,270
27,660
28,250
29,440
30,650
31,1300
32,130
33,720
34,1090
35,450
36,290
37,460
38,630
39,920
40,990
41,850
42,920
43,1380
44,1330
45,370
46,860
47,730
48,710
49,330
50,100
51,500
52,640
53,610
54,840
55,500
56,410
57,690
58,310
59,760
60,600
61,170
62,630
63,990
64,820
65,170
66,750
67,670
68,720
69,810
70,230
71,720
72,790
73,300
74,820
75,950
76,860
77,470
78,100
79,230
80,1350
81,300
82,290
83,250
84,300
85,1520
86,790
87,780
88,690
89,230
90,570
91,240
92,450
93,260
94,880
95,440
96,170
97,440
98,700
99,370
100,960
101,1460
102,850
103,460
104,850
105,1530
106,910
107,790
108,650
109,770
110,350
111,550
112,330
113,530
114,750
115,330
116,530
117,310
118,210
119,920
120,220
121,500
122,1050
123,500
124,790
125,1100
126,210
127,1470
128,330
129,300
130,560
131,500
132,210
133,850
134,820
135,820
136,640
137,360
138,140
139,380
140,1070
141,550
142,1330
143,1170
144,1420
145,910
146,1530
147,560
148,940
149,980
150,570
151,830
152,570
153,350
154,100
155,370
156,520
157,690
158,670
159,680
160,500
161,190
162,830
163,810
164,530
165,170
166,1080
167,820
168,830
169,470
170,750
171,510
172,290
173,830
174,940
175,690
176,480
177,300
178,500
179,1560
180,1440
181,550
182,500
183,280
184,440
185,400
186,260
187,850
188,240
189,580
190,250
191,280
192,1490
193,850
194,170
195,500
196,1010
197,600
198,340
199,320
200,800
201,630
202,860
203,850
204,790
205,1590
206,660
207,170
208,780
209,270
210,230
211,200
212,410
213,620
214,290
215,330
216,610
217,400
218,410
219,1090
220,1150
221,360
222,300
223,510
224,440
225,500
226,900
227,520
228,760
229,440
230,1080
231,1260
232,410
233,470
234,660
235,310
236,570
237,1130
238,1440
239,500
240,1620
241,1120
242,110
243,360
244,540
245,1140
246,500
247,360
248,1510
249,850
250,590
