"trial","stopped_at_n"
1,130
2,230
3,50
4,200
5,50
6,200
7,210
8,500
9,150
10,230
11,80
12,400
13,220
14,200
15,360
16,440
17,370
18,50
19,200
20,110
21,190
22,80
23,220
24,280
25,190
26,100
27,560
28,200
29,50
30,230
31,280
32,110
33,230
34,180
35,370
36,90
37,140
38,140
39,250
40,170
41,280
42,50
43,200
44,90
45,140
46,150
47,240
48,90
49,410
50,130
51,290
52,160
53,170
54,70
55,70
56,50
57,220
58,100
59,110
60,280
61,140
62,160
63,170
64,160
65,160
66,330
67,90
68,340
69,90
70,50
71,240
72,190
73,50
74,310
75,160
76,160
77,190
78,110
79,50
80,220
81,90
82,130
83,130
84,210
85,180
86,50
87,50
88,60
89,170
90,520
91,200
92,150
93,120
94,370
95,130
96,100
97,260
98,50
99,50
100,80
101,160
102,150
103,160
104,140
105,160
106,260
107,160
108,310
109,200
110,230
111,70
112,170
113,120
114,160
115,80
116,100
117,190
118,60
119,330
120,260
121,160
122,50
123,100
124,130
125,250
126,90
127,210
128,460
129,180
130,90
131,280
132,440
133,420
134,70
135,90
136,110
137,90
138,280
139,160
140,160
141,160
142,200
143,110
144,110
145,120
146,120
147,140
148,300
149,110
150,50
151,310
152,110
153,160
154,280
155,230
156,210
157,290
158,260
159,50
160,50
161,50
162,190
163,160
164,60
165,320
166,110
167,190
168,300
169,100
170,110
171,200
172,150
173,160
174,50
175,140
176,280
177,200
178,630
179,260
180,60
181,190
182,130
183,250
184,280
185,170
186,350
187,80
188,110
189,270
190,90
191,280
192,400
193,260
194,130
195,70
196,210
197,270
198,160
199,310
200,180
201,260
202,50
203,180
204,110
205,170
206,50
207,160
208,190
209,90
210,130
211,220
212,420
213,50
214,160
215,260
216,60
217,130
218,50
219,220
220,220
221,240
222,140
223,170
224,230
225,140
226,190
227,340
228,130
229,90
230,230
231,130
232,60
233,280
234,60
235,220
236,160
237,120
238,250
239,60
240,140
241,250
242,90
243,480
244,100
245,110
246,100
247,160
248,220
249,200
250,390
