"trial","stopped_at_n"
1,420
2,150
3,140
4,370
5,120
6,260
7,140
8,440
9,160
10,450
11,170
12,590
13,480
14,360
15,90
16,430
17,280
18,280
19,160
20,280
21,300
22,540
23,90
24,460
25,280
26,280
27,220
28,280
29,120
30,300
31,210
32,140
33,170
34,130
35,130
36,90
37,50
38,450
39,260
40,140
41,160
42,190
43,200
44,300
45,460
46,290
47,180
48,280
49,160
50,280
51,280
52,210
53,480
54,300
55,240
56,360
57,50
58,60
59,90
60,550
61,170
62,280
63,110
64,290
65,90
66,410
67,260
68,380
69,160
70,470
71,350
72,280
73,340
74,220
75,90
76,150
77,160
78,280
79,200
80,340
81,80
82,290
83,240
84,180
85,280
86,250
87,280
88,160
89,120
90,260
91,290
92,50
93,300
94,280
95,480
96,70
97,280
98,550
99,360
100,280
101,180
102,250
103,160
104,60
105,280
106,140
107,350
108,90
109,110
110,350
111,310
112,360
113,60
114,420
115,250
116,280
117,50
118,280
119,360
120,150
121,150
122,160
123,480
124,160
125,70
126,160
127,270
128,400
129,180
130,100
131,390
132,90
133,140
134,110
135,390
136,220
137,70
138,400
139,470
140,180
141,290
142,160
143,140
144,260
145,300
146,160
147,130
148,160
149,280
150,170
151,90
152,310
153,120
154,480
155,290
156,280
157,130
158,180
159,220
160,130
161,280
162,160
163,280
164,310
165,420
166,370
167,60
168,260
169,390
170,160
171,160
172,310
173,180
174,240
175,170
176,280
177,90
178,250
179,250
180,210
181,410
182,160
183,90
184,320
185,480
186,320
187,280
188,160
189,210
190,70
191,540
192,180
193,90
194,170
195,160
196,160
197,160
198,120
199,160
200,280
201,320
202,210
203,230
204,310
205,280
206,260
207,110
208,350
209,160
210,210
211,260
212,160
213,90
214,160
215,120
216,130
217,280
218,120
219,220
220,110
221,100
222,160
223,220
224,160
225,280
226,90
227,90
228,260
229,160
230,480
231,290
232,170
233,190
234,160
235,170
236,180
237,160
238,280
239,160
240,170
241,90
242,290
243,310
244,250
245,190
246,160
247,580
248,160
249,350
250,330
