"trial","stopped_at_n"
1,290
2,3640
3,1470
4,1490
5,1710
6,500
7,3750
8,730
9,850
10,1050
11,2140
12,2030
13,2560
14,2440
15,1460
16,5210
17,2440
18,4120
19,1210
20,370
21,2050
22,3280
23,2040
24,290
25,100
26,1440
27,300
28,1140
29,340
30,220
31,1940
32,150
33,1330
34,2200
35,1290
36,4320
37,900
38,2900
39,890
40,570
41,1050
42,1140
43,810
44,2630
45,480
46,850
47,2150
48,4920
49,3310
50,2670
51,1580
52,2520
53,820
54,1880
55,1730
56,850
57,850
58,1440
59,1530
60,640
61,1330
62,600
63,290
64,850
65,2510
66,590
67,850
68,200
69,1440
70,4100
71,1360
72,1210
73,1440
74,1480
75,4140
76,1440
77,1270
78,690
79,2440
80,2440
81,1930
82,1030
83,1850
84,1240
85,1750
86,2920
87,1290
88,2510
89,1530
90,1570
91,1830
92,1510
93,380
94,2440
95,1020
96,500
97,4020
98,1270
99,720
100,1450
101,2790
102,210
103,2560
104,1160
105,580
106,1280
107,680
108,2180
109,2300
110,1230
111,300
112,850
113,2350
114,1440
115,870
116,1070
117,5140
118,990
119,790
120,830
121,1480
122,1140
123,2440
124,810
125,400
126,1500
127,2050
128,1590
129,1430
130,1480
131,1440
132,1500
133,780
134,1740
135,1980
136,2950
137,850
138,970
139,2590
140,840
141,1250
142,3090
143,1970
144,510
145,2000
146,2440
147,2190
148,2710
149,2440
150,1760
151,150
152,440
153,1440
154,450
155,1740
156,1130
157,2630
158,1440
159,260
160,2520
161,740
162,2340
163,2440
164,1370
165,730
166,4500
167,570
168,850
169,2220
170,2230
171,850
172,250
173,590
174,1760
175,1950
176,2020
177,1520
178,660
179,1370
180,850
181,980
182,1440
183,2910
184,1560
185,870
186,550
187,1440
188,1680
189,1160
190,1820
191,2140
192,1330
193,1440
194,290
195,990
196,2240
197,330
198,4490
199,950
200,530
201,2740
202,860
203,1900
204,1090
205,2440
206,4000
207,2170
208,1440
209,700
210,2300
211,850
212,770
213,1440
214,1440
215,2050
216,3970
217,1200
218,1990
219,210
220,710
221,1440
222,360
223,1700
224,3190
225,110
226,1240
227,4030
228,1440
229,1500
230,510
231,850
232,110
233,890
234,310
235,1370
236,2070
237,170
238,2590
239,1490
240,270
241,450
242,1030
243,3520
244,2700
245,760
246,410
247,4120
248,2110
249,1150
250,3560
