"trial","stopped_at_n"
1,100
2,100
3,100
4,100
5,100
6,120
7,310
8,130
9,100
10,170
11,170
12,100
13,100
14,100
15,140
16,110
17,100
18,170
19,100
20,100
21,110
22,160
23,100
24,130
25,100
26,170
27,100
28,110
29,100
30,100
31,200
32,110
33,100
34,110
35,100
36,100
37,100
38,100
39,100
40,170
41,110
42,100
43,170
44,100
45,100
46,140
47,100
48,120
49,100
50,100
51,130
52,100
53,250
54,110
55,140
56,100
57,150
58,100
59,100
60,200
61,170
62,100
63,110
64,110
65,170
66,100
67,100
68,170
69,100
70,140
71,110
72,100
73,100
74,110
75,100
76,120
77,120
78,100
79,100
80,110
81,100
82,100
83,160
84,100
85,100
86,160
87,100
88,130
89,100
90,100
91,100
92,100
93,130
94,140
95,100
96,100
97,100
98,100
99,100
100,130
101,160
102,110
103,100
104,100
105,100
106,100
107,100
108,100
109,100
110,100
111,100
112,100
113,100
114,140
115,100
116,100
117,120
118,290
119,120
120,110
121,110
122,120
123,130
124,110
125,110
126,260
127,180
128,100
129,100
130,130
131,130
132,170
133,170
134,100
135,100
136,340
137,170
138,120
139,140
140,100
141,100
142,100
143,100
144,100
145,150
146,120
147,100
148,190
149,100
150,100
151,100
152,120
153,100
154,140
155,160
156,150
157,100
158,250
159,100
160,100
161,100
162,100
163,100
164,170
165,130
166,180
167,100
168,130
169,100
170,130
171,210
172,100
173,100
174,110
175,160
176,100
177,170
178,140
179,160
180,100
181,110
182,120
183,170
184,170
185,170
186,140
187,100
188,110
189,130
190,100
191,100
192,170
193,100
194,100
195,270
196,100
197,100
198,100
199,110
200,140
201,100
202,100
203,100
204,120
205,250
206,100
207,100
208,100
209,100
210,130
211,100
212,100
213,100
214,130
215,100
216,100
217,100
218,100
219,100
220,100
221,180
222,210
223,100
224,100
225,100
226,100
227,100
228,170
229,100
230,150
231,100
232,100
233,100
234,120
235,100
236,100
237,110
238,100
239,100
240,170
241,170
242,100
243,170
244,100
245,130
246,110
247,230
248,100
249,110
250,100
