"trial","stopped_at_n"
1,100
2,230
3,170
4,150
5,170
6,170
7,180
8,170
9,160
10,170
11,100
12,170
13,290
14,230
15,150
16,290
17,240
18,170
19,100
20,100
21,250
22,170
23,170
24,140
25,290
26,170
27,170
28,170
29,300
30,170
31,100
32,110
33,270
34,150
35,170
36,170
37,100
38,170
39,170
40,210
41,140
42,160
43,200
44,260
45,290
46,100
47,120
48,110
49,170
50,100
51,170
52,170
53,260
54,240
55,170
56,100
57,340
58,260
59,140
60,290
61,170
62,110
63,170
64,100
65,130
66,250
67,170
68,130
69,290
70,190
71,110
72,250
73,170
74,170
75,210
76,170
77,160
78,170
79,200
80,100
81,100
82,290
83,160
84,120
85,150
86,180
87,100
88,100
89,100
90,140
91,270
92,260
93,130
94,170
95,160
96,170
97,170
98,170
99,150
100,160
101,100
102,170
103,170
104,210
105,270
106,170
107,100
108,160
109,170
110,100
111,210
112,270
113,100
114,120
115,200
116,100
117,170
118,100
119,170
120,290
121,100
122,100
123,120
124,100
125,290
126,290
127,100
128,210
129,170
130,120
131,200
132,250
133,250
134,120
135,210
136,130
137,240
138,210
139,110
140,100
141,100
142,140
143,220
144,170
145,100
146,200
147,390
148,170
149,140
150,270
151,120
152,260
153,170
154,170
155,150
156,230
157,170
158,170
159,320
160,100
161,180
162,170
163,170
164,250
165,170
166,170
167,140
168,170
169,100
170,250
171,100
172,190
173,110
174,180
175,130
176,240
177,170
178,440
179,150
180,170
181,170
182,430
183,230
184,170
185,180
186,100
187,310
188,100
189,170
190,170
191,110
192,170
193,100
194,190
195,100
196,100
197,170
198,170
199,100
200,100
201,100
202,160
203,170
204,170
205,170
206,150
207,170
208,170
209,130
210,100
211,160
212,190
213,170
214,150
215,170
216,200
217,200
218,100
219,170
220,160
221,100
222,170
223,170
224,210
225,120
226,170
227,170
228,170
229,210
230,180
231,100
232,220
233,170
234,170
235,170
236,100
237,170
238,190
239,170
240,180
241,150
242,160
243,170
244,110
245,100
246,140
247,250
248,170
249,150
250,120
