"trial","stopped_at_n"
1,100
2,120
3,100
4,100
5,100
6,130
7,150
8,100
9,100
10,110
11,100
12,120
13,160
14,170
15,190
16,170
17,100
18,100
19,100
20,100
21,100
22,180
23,170
24,100
25,190
26,100
27,140
28,100
29,100
30,100
31,190
32,100
33,120
34,150
35,100
36,100
37,100
38,170
39,130
40,100
41,240
42,130
43,120
44,160
45,140
46,100
47,290
48,100
49,140
50,100
51,260
52,260
53,170
54,100
55,100
56,150
57,100
58,100
59,130
60,110
61,100
62,100
63,100
64,120
65,100
66,100
67,100
68,100
69,100
70,150
71,100
72,100
73,100
74,170
75,100
76,100
77,110
78,100
79,100
80,100
81,100
82,120
83,100
84,100
85,170
86,100
87,100
88,100
89,160
90,100
91,100
92,100
93,170
94,110
95,160
96,100
97,100
98,100
99,110
100,140
101,170
102,100
103,150
104,100
105,100
106,250
107,150
108,160
109,100
110,100
111,120
112,100
113,140
114,100
115,100
116,100
117,260
118,100
119,100
120,100
121,110
122,130
123,380
124,100
125,100
126,100
127,110
128,120
129,260
130,230
131,150
132,100
133,100
134,100
135,290
136,130
137,130
138,160
139,110
140,100
141,170
142,100
143,110
144,140
145,130
146,170
147,100
148,180
149,170
150,100
151,180
152,190
153,100
154,160
155,130
156,100
157,190
158,170
159,160
160,100
161,100
162,110
163,100
164,180
165,150
166,100
167,100
168,100
169,110
170,100
171,110
172,130
173,100
174,140
175,100
176,100
177,100
178,150
179,170
180,110
181,160
182,100
183,100
184,100
185,100
186,140
187,120
188,150
189,100
190,100
191,140
192,100
193,170
194,100
195,160
196,100
197,140
198,120
199,140
200,110
201,100
202,100
203,110
204,100
205,100
206,140
207,100
208,180
209,170
210,100
211,100
212,100
213,150
214,170
215,100
216,100
217,120
218,120
219,120
220,310
221,150
222,110
223,100
224,100
225,100
226,170
227,210
228,160
229,100
230,100
231,100
232,100
233,160
234,180
235,100
236,110
237,100
238,130
239,160
240,200
241,160
242,170
243,260
244,110
245,170
246,120
247,130
248,140
249,100
250,150
