"trial","stopped_at_n","T1_","T2_","s1","s2","beta_allowed","reason"
1,160,0.738561194862963,0.229420645570211,0.482465996211132,0.357071421427142,0.236550565040423,"violation"
2,50,0.570041634225645,0.303535969713597,0.485386443980464,0.366606055596467,0.389033369176048,"violation at burn-in"
3,50,0.634348621733321,0.217457936814544,0.496386945839634,0.3,0.330846000637932,"violation at burn-in"
4,50,0.634348621733321,0.275854602721513,0.496386945839634,0.346987031457949,0.330846000637932,"violation at burn-in"
5,70,0.680179984149,0.277941769731781,0.499795876701026,0.363935405795914,0.289376069004658,"violation"
6,50,0.655135780166563,0.247231038614755,0.498397431775085,0.324961536185438,0.312037001872892,"violation at burn-in"
7,50,0.54793269890327,0.303535969713597,0.48,0.366606055596467,0.409038361128669,"violation at burn-in"
8,60,0.662218403900734,0.300073861690174,0.499722145018832,0.372677996249965,0.305628378900345,"violation"
9,90,0.61314655477888,0.276089762269053,0.498887651569859,0.372677996249965,0.350030424158013,"violation"
10,50,0.735135780166563,0.11672320304952,0.498397431775084,0.195959179422654,0.239650008430016,"violation at burn-in"
11,50,0.675606554747422,0.247231038614755,0.499599839871872,0.324961536185438,0.293514279055952,"violation at burn-in"
12,100,0.708105402044992,0.249607973199503,0.495075751779463,0.357071421427142,0.264108105978073,"violation"
13,80,0.667930192578729,0.293153649032986,0.499843725578305,0.379967103839267,0.300460138780581,"violation"
14,50,0.715606554747422,0.186218464881775,0.499599839871872,0.271293199325011,0.257320782334513,"violation at burn-in"
15,50,0.675606554747422,0.217457936814544,0.499599839871872,0.3,0.293514279055952,"violation at burn-in"
16,70,0.547282820429843,0.402213187764847,0.486763572497166,0.43705881545081,0.409626395488602,"violation"
17,120,0.577056861445048,0.370123891804387,0.49749371855331,0.43771819955563,0.382685729091907,"violation"
18,150,0.627992671863902,0.330358764578374,0.499822190606042,0.422952584681651,0.336597101906943,"violation"
19,70,0.592831232270471,0.332769618635748,0.494871659305393,0.4,0.36841248812309,"violation"
20,50,0.634348621733321,0.247231038614755,0.496386945839634,0.324961536185438,0.330846000637932,"violation at burn-in"
21,60,0.71191968105846,0.231582853192141,0.498887651569859,0.321022671404304,0.260656803603859,"violation"
22,70,0.762608909500749,0.178633662571857,0.489897948556636,0.279941684889506,0.214791293017902,"violation"
23,50,0.754348621733321,0.217457936814544,0.496386945839634,0.3,0.222265510473616,"violation at burn-in"
24,50,0.52546951642346,0.275854602721513,0.47370877129308,0.346987031457949,0.429363889164572,"violation at burn-in"
25,60,0.628087362822182,0.321845726639475,0.49749371855331,0.386939558874797,0.336511421984741,"violation"
26,70,0.665962023294685,0.277941769731781,0.5,0.363935405795914,0.302241011993813,"violation"
27,50,0.502637754462236,0.330419552419213,0.466476151587624,0.384187454245971,0.450022921706777,"violation at burn-in"
28,100,0.669227772407995,0.287172210795162,0.499099188538711,0.384187454245971,0.299286039998172,"violation"
29,100,0.568105402044992,0.382360585019762,0.495075751779463,0.438634243989226,0.390785344503107,"violation"
30,50,0.634348621733321,0.330419552419213,0.496386945839634,0.384187454245971,0.330846000637932,"violation at burn-in"
31,50,0.52546951642346,0.330419552419213,0.47370877129308,0.384187454245971,0.429363889164572,"violation at burn-in"
32,90,0.635659123942328,0.276089762269053,0.499876527964533,0.372677996249965,0.329660209202803,"violation"
33,90,0.624439200087936,0.31744519043619,0.499505928733089,0.4,0.339812416133771,"violation"
34,50,0.655135780166563,0.275854602721513,0.498397431775085,0.346987031457949,0.312037001872892,"violation at burn-in"
35,160,0.660653695377553,0.296244748637014,0.49749371855331,0.404612082740988,0.307044185720439,"violation"
36,50,0.634348621733321,0.186218464881775,0.496386945839634,0.271293199325011,0.330846000637932,"violation at burn-in"
37,50,0.613241213164896,0.152982381504905,0.493558507170123,0.237486841740758,0.349944773708415,"violation at burn-in"
38,60,0.71191968105846,0.255019417571102,0.498887651569859,0.339934634239519,0.260656803603859,"violation"
39,110,0.764497471568966,0.192131125156736,0.481045692920835,0.311753239990586,0.213082451392296,"violation"
40,50,0.54793269890327,0.407214344358805,0.48,0.427083130081252,0.409038361128669,"violation at burn-in"
41,100,0.708105402044992,0.249607973199503,0.495075751779463,0.357071421427142,0.264108105978073,"violation"
42,50,0.634348621733321,0.247231038614755,0.496386945839634,0.324961536185438,0.330846000637932,"violation at burn-in"
