"trial","stopped_at_n","T1_","T2_","s1","s2","beta_allowed","margin","reason","violation","eps"
1,280,0.737727502664882,0.0515056290320375,0.474664220738176,0.15612494995996,0.0964809809598702,0.0449753519278327,"violation",1,1
2,10050,0.363563795721329,0.361247959651679,0.475747906868054,0.475001823166589,0.2341281163769,-0.12711984327478,"max_iter reached without violation",0,1
3,10050,0.37423106451445,0.360341641448075,0.479030077451914,0.474706554842114,0.230203847494461,-0.130137793953614,"max_iter reached without violation",0,1
4,10050,0.363563795721329,0.368496053430293,0.475747906868054,0.477296911029897,0.2341281163769,-0.134367937053394,"max_iter reached without violation",0,1
5,80,0.786130300599852,0.0732709191287607,0.480722113075735,0.15612494995996,0.0786745867044191,0.0054036675756584,"violation",1,1
6,10050,0.366382474524308,0.356312729661707,0.476639775519248,0.473371526356727,0.233091182394018,-0.123221547267689,"max_iter reached without violation",0,1
7,10050,0.367992853706118,0.370408022789402,0.477141362288935,0.477882810835002,0.23249875700054,-0.137909265788863,"max_iter reached without violation",0,1
8,50,0.844410079701748,0.0275269587093167,0.47370877129308,0.0707106781186548,0.0572346541368186,0.0297076954275019,"violation at burn-in",1,1
9,50,0.694644991687999,0.0745005976726398,0.5,0.14,0.112330151022308,0.0378295533496685,"violation at burn-in",1,1
10,10050,0.367791567985779,0.363161073618305,0.477078983322273,0.475619028280902,0.232572805878854,-0.130588267739452,"max_iter reached without violation",0,1
11,50,0.826859192020479,0.0275269587093167,0.48,0.0707106781186548,0.0636912648890665,0.0361643061797498,"violation at burn-in",1,1
12,10050,0.366583783608637,0.356312729661707,0.476702793497047,0.473371526356727,0.233017124920572,-0.123295604741134,"max_iter reached without violation",0,1
13,10050,0.368898598227229,0.353894728084182,0.477420940250061,0.47255260836659,0.232165552212269,-0.121729175871913,"max_iter reached without violation",0,1
14,10050,0.376645004104239,0.347242668667236,0.4797378990355,0.470230701834429,0.229315808747147,-0.117926859920089,"max_iter reached without violation",0,1
15,10050,0.373929288765314,0.350468379604534,0.47894068897914,0.471369329534308,0.230314864588412,-0.120153515016122,"max_iter reached without violation",0,1
16,160,0.772837907380941,0.0370705000448629,0.470662764089109,0.111102430216445,0.0835645848936231,0.0464940848487602,"violation",1,1
17,10050,0.362456277547473,0.35127466883343,0.4753926048638,0.471650198300281,0.234535549543785,-0.116739119289645,"max_iter reached without violation",0,1
18,10050,0.373023917018139,0.375337512231928,0.478671306480792,0.47935610219963,0.230647932240815,-0.144689579991112,"max_iter reached without violation",0,1
19,10050,0.377248415150757,0.345528647625389,0.479912834589514,0.46961590216574,0.229093826228558,-0.116434821396831,"max_iter reached without violation",0,1
20,10050,0.379862856156005,0.349863626396173,0.48066158420013,0.471157685509572,0.228132027132571,-0.121731599263601,"max_iter reached without violation",0,1
21,50,0.80895608070809,0.0275269587093167,0.485386443980464,0.0707106781186548,0.0702774514738984,0.0427504927645817,"violation at burn-in",1,1
22,50,0.753238465893974,0.0745005976726398,0.496386945839634,0.14,0.0907748164751211,0.0162742188024813,"violation at burn-in",1,1
23,50,0.844410079701748,0.0275269587093167,0.47370877129308,0.0707106781186548,0.0572346541368186,0.0297076954275019,"violation at burn-in",1,1
24,10050,0.380767726481262,0.362657652062562,0.480917252680381,0.475457412389651,0.227799143942983,-0.134858508119579,"max_iter reached without violation",0,1
25,10050,0.37231969278976,0.352080902858791,0.478460523101468,0.471929557235401,0.230907001856411,-0.12117390100238,"max_iter reached without violation",0,1
26,10050,0.371514815522391,0.348855635140409,0.478218271845444,0.470803051686572,0.231203099655742,-0.117652535484667,"max_iter reached without violation",0,1
27,10050,0.368797963275879,0.36195282651572,0.477389967074974,0.475230182796116,0.232202573741934,-0.129750252773786,"max_iter reached without violation",0,1
28,60,0.727070094348715,0.0972236971658371,0.49749371855331,0.17950549357115,0.100401622375557,0.00317792520972031,"violation",1,1
29,10050,0.371917260771042,0.348452414366955,0.478339578394479,0.470660534335234,0.231055048322566,-0.117397366044389,"max_iter reached without violation",0,1
30,60,0.819765062450468,0.0622317713624085,0.476969600708473,0.12801909579781,0.0663010493108799,0.00406927794847138,"violation",1,1
31,10050,0.372420298728439,0.358629519992912,0.478490702772568,0.474143709356508,0.230869990999911,-0.127759528993001,"max_iter reached without violation",0,1
32,10050,0.376946713313955,0.352080902858791,0.479825467638051,0.471929557235401,0.229204816131681,-0.12287608672711,"max_iter reached without violation",0,1
33,10050,0.36477188138997,0.352584771135162,0.476132337093042,0.472103391050404,0.233683686496233,-0.118901084638929,"max_iter reached without violation",0,1
34,160,0.818181875412019,0.0487472130312073,0.449609205310567,0.135640840088817,0.0668834712738543,0.0181362582426471,"violation",1,1
35,10050,0.364268527050547,0.358428077824961,0.475972559585403,0.474077051507527,0.233868860209331,-0.12455921761563,"max_iter reached without violation",0,1
36,10050,0.373023917018139,0.357219353419377,0.478671306480792,0.473675151663284,0.230647932240815,-0.126571421178562,"max_iter reached without violation",0,1
37,10050,0.367489633154043,0.364067179441085,0.476985243899587,0.475908487935327,0.232683881496023,-0.131383297945062,"max_iter reached without violation",0,1
38,50,0.826859192020479,0.0275269587093167,0.48,0.0707106781186548,0.0636912648890665,0.0361643061797498,"violation at burn-in",1,1
39,160,0.790006592849108,0.0697287809828362,0.463512405443479,0.173992636338438,0.0772485784779456,0.00751979749510942,"violation",1,1
40,80,0.679397303997039,0.117384507872718,0.499374608885954,0.217944947177034,0.117939461849216,0.000554953976497671,"violation",1,1
41,10050,0.370508644453623,0.359435254718308,0.4779134206037,0.474409412309515,0.231573249306243,-0.127862005412065,"max_iter reached without violation",0,1
42,10050,0.379561218050451,0.355406036796451,0.480575960314637,0.47306601093998,0.228242993590279,-0.127163043206172,"max_iter reached without violation",0,1
43,480,0.721191178609296,0.0543103625161435,0.474268442504407,0.173992636338438,0.102564354612469,0.0482539920963254,"violation",1,1
44,10050,0.367791567985779,0.36054305141082,0.477078983322273,0.474772331870471,0.232572805878854,-0.127970245531967,"max_iter reached without violation",0,1
45,10050,0.368999232346926,0.361449354403772,0.477451890679229,0.475067184179689,0.232128530988552,-0.129320823415219,"max_iter reached without violation",0,1
46,10050,0.369200498092008,0.361449354403772,0.477513723317493,0.475067184179689,0.232054489458725,-0.129394864945047,"max_iter reached without violation",0,1
47,10050,0.363463116456686,0.364671212199607,0.475715721713035,0.476100427472169,0.234165154208514,-0.130506057991093,"max_iter reached without violation",0,1
48,10050,0.367992853706118,0.359233826126066,0.477141362288935,0.474343125759636,0.23249875700054,-0.126735069125526,"max_iter reached without violation",0,1
49,10050,0.379963400561107,0.35449927468963,0.480690080912099,0.47275860174865,0.22809503891301,-0.12640423577662,"max_iter reached without violation",0,1
