"trial","stopped_at_n","selected_direction","T1_","T2_","s1","s2","beta_allowed","margin","reason","violation","eps","fwd_violation","fwd_stopped_at_n","fwd_T1_","fwd_T2_","fwd_s1","fwd_s2","fwd_beta_allowed","fwd_margin","fwd_reason","rev_violation","rev_stopped_at_n","rev_T1_","rev_T2_","rev_s1","rev_s2","rev_beta_allowed","rev_margin","rev_reason"
1,50,"forward",0.790712364249548,0.0275269587093166,0.489897948556636,0.0707106781186548,0.076988939689557,0.0494619809802404,"violation in forward orientation",1,1,1,50,0.790712364249548,0.0275269587093166,0.489897948556636,0.0707106781186548,0.076988939689557,0.0494619809802404,"violation at burn-in",1,180,0.0875296626215912,0.760070607788728,0.206080411011016,0.473332029210514,0.762059708644578,0.00198910085584936,"violation"
2,170,"forward",0.771563616971373,0.08386506807218,0.469999631892663,0.198698185341818,0.0840333701373852,0.000168302065205128,"violation in forward orientation",1,1,1,170,0.771563616971373,0.08386506807218,0.469999631892663,0.198698185341818,0.0840333701373852,0.000168302065205128,"violation",1,480,0.102285497677251,0.695194319762474,0.253028530999965,0.482465996211132,0.721949190349039,0.0267548705865649,"violation"
3,140,"forward",0.749171989719324,0.0906080826802676,0.481229293220042,0.202534955410826,0.0922707894577882,0.00166270677752064,"violation in forward orientation",1,1,1,140,0.749171989719324,0.0906080826802676,0.481229293220042,0.202534955410826,0.0922707894577882,0.00166270677752064,"violation",1,340,0.117701620571606,0.678854241298121,0.26574957642533,0.489288375282768,0.680043823620021,0.00118958232190003,"violation"
4,230,"forward",0.74492538697532,0.087553159791562,0.474869398023903,0.213398107683618,0.0938330273021296,0.00627986751056761,"violation in forward orientation",1,1,1,230,0.74492538697532,0.087553159791562,0.474869398023903,0.213398107683618,0.0938330273021296,0.00627986751056761,"violation",1,330,0.10203482816493,0.720704753285774,0.24410402876541,0.478375349706286,0.722630580729331,0.00192582744355718,"violation"
5,370,"reverse",0.11178574088804,0.683568875541521,0.260092134038034,0.487566369028311,0.696124851863209,0.012555976321688,"violation in reverse orientation",1,1,1,460,0.672528235387268,0.119804445213769,0.488521359914413,0.275289845535247,0.120466450970746,0.000662005756977335,"violation",1,370,0.11178574088804,0.683568875541521,0.260092134038034,0.487566369028311,0.696124851863209,0.012555976321688,"violation"
6,260,"reverse",0.0935158775834556,0.741083592135526,0.225713857709557,0.474481966037356,0.745787489292492,0.00470389715696651,"violation in reverse orientation",1,1,1,530,0.682252201637922,0.115738767135853,0.485199235703032,0.273037839504624,0.116889203700486,0.00115043656463223,"violation",1,260,0.0935158775834556,0.741083592135526,0.225713857709557,0.474481966037356,0.745787489292492,0.00470389715696651,"violation"
7,160,"reverse",0.0889840203618664,0.75548267551641,0.20453835214942,0.476969600708473,0.758106354427109,0.00262367891069937,"violation in reverse orientation",1,1,1,350,0.737933094450593,0.0963569150408285,0.471740156770869,0.237486841740758,0.0964053479686332,4.84329278047091e-05,"violation",1,160,0.0889840203618664,0.75548267551641,0.20453835214942,0.476969600708473,0.758106354427109,0.00262367891069937,"violation"
8,120,"forward",0.732284822975348,0.0924095701582629,0.488122821520249,0.199826313471363,0.098483230922531,0.0060736607642681,"violation in forward orientation",1,1,1,120,0.732284822975348,0.0924095701582629,0.488122821520249,0.199826313471363,0.098483230922531,0.0060736607642681,"violation",1,320,0.10112303975678,0.711219320697192,0.242061459137964,0.48160498271405,0.725109078590604,0.0138897578934118,"violation"
9,80,"reverse",0.0962393665961733,0.703815767828986,0.189983551919633,0.49749371855331,0.738384278599214,0.0345685107702283,"violation in reverse orientation",1,1,1,150,0.633953666895996,0.132792456161149,0.499599839871872,0.260682863946895,0.134657241670745,0.00186478550959596,"violation",1,80,0.0962393665961733,0.703815767828986,0.189983551919633,0.49749371855331,0.738384278599214,0.0345685107702283,"violation"
10,240,"reverse",0.095469130868934,0.72916523453089,0.226346280925685,0.479510746027193,0.740477996380198,0.0113127618493077,"violation in reverse orientation",1,1,1,240,0.693402064149923,0.106670086249735,0.489028941429396,0.242061459137964,0.112787398510432,0.0061173122606968,"violation",1,240,0.095469130868934,0.72916523453089,0.226346280925685,0.479510746027193,0.740477996380198,0.0113127618493077,"violation"
