"trial","stopped_at_n","selected_direction","T1_","T2_","s1","s2","beta_allowed","margin","reason","violation","eps","fwd_violation","fwd_stopped_at_n","fwd_T1_","fwd_T2_","fwd_s1","fwd_s2","fwd_beta_allowed","fwd_margin","fwd_reason","rev_violation","rev_stopped_at_n","rev_T1_","rev_T2_","rev_s1","rev_s2","rev_beta_allowed","rev_margin","rev_reason"
1,50,"reverse",0.246504271019468,0.694644991687999,0.324961536185438,0.5,0.751008319869825,0.0563633281818261,"violation in reverse orientation",1,0.01,1,80,0.642042346118264,0.354108657851495,0.499843725578305,0.417582327212252,0.354386015216517,0.000277357365022435,"violation",1,50,0.246504271019468,0.694644991687999,0.324961536185438,0.5,0.751008319869825,0.0563633281818261,"violation at burn-in"
2,50,"reverse",0.0275269587093167,0.790712364249548,0.0707106781186548,0.489897948556636,0.972186390756336,0.181474026506787,"violation in reverse orientation",1,0.01,1,80,0.786130300599852,0.174864243211402,0.480722113075735,0.282566363886433,0.211731759836764,0.0368675166253612,"violation",1,50,0.0275269587093167,0.790712364249548,0.0707106781186548,0.489897948556636,0.972186390756336,0.181474026506787,"violation at burn-in"
3,50,"forward",0.524410079701748,0.454790769027509,0.47370877129308,0.448998886412873,0.470847821025727,0.0160570519982182,"violation in forward orientation",1,0.01,1,50,0.524410079701748,0.454790769027509,0.47370877129308,0.448998886412873,0.470847821025727,0.0160570519982182,"violation at burn-in",1,120,0.25103315076085,0.732284822975348,0.365053268563492,0.488122821520249,0.746433924130338,0.0141491011549899,"violation"
4,50,"forward",0.694644991687999,0.275078575707952,0.5,0.346987031457949,0.302306774715435,0.0272281990074827,"violation in forward orientation",1,0.01,1,50,0.694644991687999,0.275078575707952,0.5,0.346987031457949,0.302306774715435,0.0272281990074827,"violation at burn-in",1,80,0.354108657851495,0.616655263867034,0.417582327212252,0.498591766879478,0.642322490971147,0.0256672271041126,"violation"
5,50,"forward",0.612137383051339,0.152451248673278,0.493558507170123,0.237486841740758,0.383993418929201,0.231542170255923,"violation in forward orientation",1,0.01,1,50,0.612137383051339,0.152451248673278,0.493558507170123,0.237486841740758,0.383993418929201,0.231542170255923,"violation at burn-in",1,50,0.185611725055255,0.654021127930363,0.271293199325011,0.498397431775084,0.812512846095159,0.158491718164796,"violation at burn-in"
6,50,"forward",0.674489213358372,0.185611725055255,0.499599839871872,0.271293199325011,0.322261999699767,0.136650274644512,"violation in forward orientation",1,0.01,1,50,0.674489213358372,0.185611725055255,0.499599839871872,0.271293199325011,0.322261999699767,0.136650274644512,"violation at burn-in",1,90,0.330249254092939,0.623601442490622,0.408097059382377,0.499505928733089,0.666421685724005,0.0428202432333826,"violation"
7,60,"forward",0.694529912104096,0.25432432379694,0.499722145018832,0.339934634239519,0.302420709238346,0.0480963854414062,"violation in forward orientation",1,0.01,1,60,0.694529912104096,0.25432432379694,0.499722145018832,0.339934634239519,0.302420709238346,0.0480963854414062,"violation",1,70,0.133747440669977,0.838923452768526,0.232115382989599,0.464230765979198,0.86489837520421,0.0259749224356843,"violation"
8,50,"reverse",0.275078575707952,0.674489213358372,0.346987031457949,0.499599839871872,0.722146838644908,0.0476576252865357,"violation in reverse orientation",1,0.01,1,90,0.743018751298959,0.155964483968887,0.489897948556636,0.267821573182088,0.254414342054782,0.0984498580858946,"violation",1,50,0.275078575707952,0.674489213358372,0.346987031457949,0.499599839871872,0.722146838644908,0.0476576252865357,"violation at burn-in"
9,50,"forward",0.772137383051339,0.152451248673278,0.493558507170123,0.237486841740758,0.225585445529334,0.073134196856056,"violation in forward orientation",1,0.01,1,50,0.772137383051339,0.152451248673278,0.493558507170123,0.237486841740758,0.225585445529334,0.073134196856056,"violation at burn-in",1,80,0.210195306156735,0.751467297585606,0.315980616494113,0.489897948556636,0.787682195896082,0.0362148983104758,"violation"
10,50,"forward",0.753238465893974,0.152451248673278,0.496386945839634,0.237486841740758,0.244296315319024,0.0918450666457453,"violation in forward orientation",1,0.01,1,50,0.753238465893974,0.152451248673278,0.496386945839634,0.237486841740758,0.244296315319024,0.0918450666457453,"violation at burn-in",1,50,0.355715993350399,0.633238465893974,0.4,0.496386945839634,0.640699001481918,0.00746053558794491,"violation at burn-in"
