"trial","stopped_at_n","selected_direction","T1_","T2_","s1","s2","beta_allowed","margin","reason","violation","eps","fwd_violation","fwd_stopped_at_n","fwd_T1_","fwd_T2_","fwd_s1","fwd_s2","fwd_beta_allowed","fwd_margin","fwd_reason","rev_violation","rev_stopped_at_n","rev_T1_","rev_T2_","rev_s1","rev_s2","rev_beta_allowed","rev_margin","rev_reason"
1,1560,"reverse",0.468711671109251,0.325026090556893,0.495002971853025,0.453345642453842,0.326149220849082,0.00112313029218886,"violation in reverse orientation",1,0.487931034482759,1,4860,0.308328368056168,0.497292975963796,0.451893264572514,0.499250526368668,0.497740815703187,0.000447839739390665,"violation",1,1560,0.468711671109251,0.325026090556893,0.495002971853025,0.453345642453842,0.326149220849082,0.00112313029218886,"violation"
2,2710,"reverse",0.459534895057227,0.331473726753881,0.494848807325384,0.459376249178888,0.33178279970317,0.000309072949288891,"violation in reverse orientation",1,0.487931034482759,1,3590,0.299063199595457,0.512096457457742,0.446056945725463,0.499747843401012,0.512833242427013,0.000736784969270876,"violation",1,2710,0.459534895057227,0.331473726753881,0.494848807325384,0.459376249178888,0.33178279970317,0.000309072949288891,"violation"
3,1750,"reverse",0.464197637157611,0.328689512248111,0.494621190861228,0.455721003085288,0.328920364666086,0.00023085241797477,"violation in reverse orientation",1,0.487931034482759,1,2400,0.322162677981642,0.474935245415187,0.454720419293242,0.496634332001144,0.47520552023497,0.000270274819783367,"violation",1,1750,0.464197637157611,0.328689512248111,0.494621190861228,0.455721003085288,0.328920364666086,0.00023085241797477,"violation"
4,80,"reverse",0.32367253060101,0.455809380365391,0.4,0.463512405443479,0.47274605712664,0.0169366767612497,"violation in reverse orientation",1,0.487931034482759,1,2550,0.31502630660008,0.486626807018596,0.451833634447451,0.497926342003258,0.486830258911549,0.000203451892952566,"violation",1,80,0.32367253060101,0.455809380365391,0.4,0.463512405443479,0.47274605712664,0.0169366767612497,"violation"
5,1450,"forward",0.336025499613372,0.449848423189809,0.457653114667694,0.491770080554336,0.452623780836537,0.00277535764672726,"violation in forward orientation",1,0.487931034482759,1,1450,0.336025499613372,0.449848423189809,0.457653114667694,0.491770080554336,0.452623780836537,0.00277535764672726,"violation",1,3850,0.447102411483615,0.338469580041916,0.493600537860886,0.463813782489396,0.339415041807264,0.000945461765347766,"violation"
6,820,"reverse",0.426193573455659,0.337651858631589,0.484279947160619,0.453874850080934,0.352250877302221,0.0145990186706325,"violation in reverse orientation",1,0.487931034482759,1,1990,0.325000763516964,0.470131705398349,0.454893512677488,0.495714061732383,0.470582442072989,0.00045073667464024,"violation",1,820,0.426193573455659,0.337651858631589,0.484279947160619,0.453874850080934,0.352250877302221,0.0145990186706325,"violation"
7,1940,"reverse",0.496861749906047,0.308082616723993,0.498462936617794,0.446903054713734,0.308868022337589,0.000785405613596246,"violation in reverse orientation",1,0.487931034482759,1,3710,0.317848271759225,0.481942762904716,0.455012071177551,0.497920640482508,0.482233439915521,0.00029067701080443,"violation",1,1940,0.496861749906047,0.308082616723993,0.498462936617794,0.446903054713734,0.308868022337589,0.000785405613596246,"violation"
8,670,"forward",0.344473235263818,0.437561164822338,0.454927723580718,0.48589826744778,0.438862905162526,0.00130174034018793,"violation in forward orientation",1,0.487931034482759,1,670,0.344473235263818,0.437561164822338,0.454927723580718,0.48589826744778,0.438862905162526,0.00130174034018793,"violation",1,980,0.490869775733053,0.311197713181143,0.496723961448963,0.443109821642241,0.312546466575942,0.00134875339479906,"violation"
9,460,"forward",0.569730705632365,0.258829414461837,0.499995274079745,0.403224245377794,0.264134119518993,0.00530470505715652,"violation in forward orientation",1,0.487931034482759,1,460,0.569730705632365,0.258829414461837,0.499995274079745,0.403224245377794,0.264134119518993,0.00530470505715652,"violation",1,2870,0.486334533334351,0.315249960752428,0.498038011007844,0.452576223027776,0.315330630156991,8.06694045628609e-05,"violation"
10,480,"forward",0.515936040402471,0.291646432919785,0.49749371855331,0.424258953614679,0.297158406783259,0.00551197386347391,"violation in forward orientation",1,0.487931034482759,1,480,0.515936040402471,0.291646432919785,0.49749371855331,0.424258953614679,0.297158406783259,0.00551197386347391,"violation",1,820,0.315858040674103,0.447432597379184,0.443706402706225,0.489136900870278,0.485475411925319,0.038042814546135,"violation"
11,880,"reverse",0.424032830984483,0.353526631588716,0.484122918275927,0.461173270175069,0.353577346753556,5.07151648395654e-05,"violation in reverse orientation",1,0.487931034482759,1,4000,0.317363237870424,0.482660811209274,0.455138440477181,0.498060237320748,0.483023532233469,0.000362721024194934,"violation",1,880,0.424032830984483,0.353526631588716,0.484122918275927,0.461173270175069,0.353577346753556,5.07151648395654e-05,"violation"
12,3080,"forward",0.308315399106596,0.496963744325574,0.449727597880647,0.498923512282306,0.497761941376392,0.000798197050818406,"violation in forward orientation",1,0.487931034482759,1,3080,0.308315399106596,0.496963744325574,0.449727597880647,0.498923512282306,0.497761941376392,0.000798197050818406,"violation",1,4520,0.460632027511877,0.33078219845411,0.495809047239258,0.461375173867389,0.33110927534542,0.000327076891309952,"violation"
13,2360,"reverse",0.485272428774718,0.312621716027949,0.49770209538849,0.450276615483216,0.315982651057802,0.00336093502985257,"violation in reverse orientation",1,0.487931034482759,1,3610,0.311106136330592,0.492952629296013,0.451829001246099,0.4987802896103,0.493215990891281,0.000263361595268741,"violation",1,2360,0.485272428774718,0.312621716027949,0.49770209538849,0.450276615483216,0.315982651057802,0.00336093502985257,"violation"
14,280,"forward",0.475771278006254,0.319588545832247,0.488385511827762,0.430931004468517,0.321815361996292,0.00222681616404552,"violation in forward orientation",1,0.487931034482759,1,280,0.475771278006254,0.319588545832247,0.488385511827762,0.430931004468517,0.321815361996292,0.00222681616404552,"violation",1,8160,0.484588879605605,0.316398244901435,0.498752769676035,0.457450900942775,0.316402278617962,4.03371652701878e-06,"violation"
