"trial","stopped_at_n","selected_direction","T1_","T2_","s1","s2","beta_allowed","margin","reason","violation","eps","fwd_violation","fwd_stopped_at_n","fwd_T1_","fwd_T2_","fwd_s1","fwd_s2","fwd_beta_allowed","fwd_margin","fwd_reason","rev_violation","rev_stopped_at_n","rev_T1_","rev_T2_","rev_s1","rev_s2","rev_beta_allowed","rev_margin","rev_reason"
1,10050,"forward",0.000182358314524332,1,0.00498754668053816,0.00498754668053816,0.99961276434775,-0.000387235652250184,"max_iter reached without violation in either orientation",0,0.726896551724138,0,10050,0.000182358314524332,1,0.00498754668053816,0.00498754668053816,0.99961276434775,-0.000387235652250184,"max_iter reached without violation",0,10050,0.932077019960798,0.042941540930124,0.267716967049489,0.186587222802303,0.0328296026645436,-0.0101119382655804,"max_iter reached without violation"
2,10050,"reverse",1,0.000182358314524332,0.00498754668053816,0.00498754668053816,0,-0.000182358314524332,"max_iter reached without violation in either orientation",0,0.726896551724138,0,10050,0.0921260616457838,0.841663180410469,0.274501106832082,0.377501475068796,0.809413359473138,-0.0322498209373309,"max_iter reached without violation",0,10050,1,0.000182358314524332,0.00498754668053816,0.00498754668053816,0,-0.000182358314524332,"max_iter reached without violation"
3,10050,"reverse",1,0.000182358314524332,0.00498754668053816,0.00498754668053816,0,-0.000182358314524332,"max_iter reached without violation in either orientation",0,0.726896551724138,0,10050,0.0347568336285581,0.947012369756208,0.166839770504679,0.240775645698636,0.928090252307,-0.0189221174492084,"max_iter reached without violation",0,10050,1,0.000182358314524332,0.00498754668053816,0.00498754668053816,0,-0.000182358314524332,"max_iter reached without violation"
4,10050,"reverse",0.872016643847929,0.0758928331569272,0.347708221646838,0.24961660163278,0.0618632024643219,-0.0140296306926053,"max_iter reached without violation in either orientation",0,0.726896551724138,0,10050,0.121492121403682,0.785338200364109,0.312951759053952,0.420864423771427,0.74866523984018,-0.0366729605239282,"max_iter reached without violation",0,10050,0.872016643847929,0.0758928331569272,0.347708221646838,0.24961660163278,0.0618632024643219,-0.0140296306926053,"max_iter reached without violation"
5,180,"forward",0.785677428176059,0.10344541255513,0.462948147911104,0.229061423645426,0.103600174442869,0.000154761887739288,"violation in forward orientation",1,0.726896551724138,1,180,0.785677428176059,0.10344541255513,0.462948147911104,0.229061423645426,0.103600174442869,0.000154761887739288,"violation",0,10050,0.868951773232015,0.077162218441645,0.350968617995333,0.251677592081972,0.0633447820457306,-0.0138174363959144,"max_iter reached without violation"
6,50,"forward",0.790712364249548,0.0745005976726398,0.489897948556636,0.14,0.101166251639914,0.0266656539672747,"violation in forward orientation",1,0.726896551724138,1,50,0.790712364249548,0.0745005976726398,0.489897948556636,0.14,0.101166251639914,0.0266656539672747,"violation at burn-in",0,10050,1,0.000182358314524332,0.00498754668053816,0.00498754668053816,0,-0.000182358314524332,"max_iter reached without violation"
7,10050,"reverse",1,0.000182358314524332,0.00498754668053816,0.00498754668053816,0,-0.000182358314524332,"max_iter reached without violation in either orientation",0,0.726896551724138,0,10050,0.000182358314524332,1,0.00498754668053816,0.00498754668053816,0.99961276434775,-0.000387235652250184,"max_iter reached without violation",0,10050,1,0.000182358314524332,0.00498754668053816,0.00498754668053816,0,-0.000182358314524332,"max_iter reached without violation"
8,10050,"reverse",0.880433473930438,0.0711249973504813,0.338425850279237,0.241678904445831,0.0577944487865384,-0.0133305485639429,"max_iter reached without violation in either orientation",0,0.726896551724138,0,10050,0.039351544250157,0.944502260357982,0.178206705153424,0.245601810862165,0.918585401032404,-0.0259168593255785,"max_iter reached without violation",0,10050,0.880433473930438,0.0711249973504813,0.338425850279237,0.241678904445831,0.0577944487865384,-0.0133305485639429,"max_iter reached without violation"
9,10050,"reverse",1,0.000182358314524332,0.00498754668053816,0.00498754668053816,0,-0.000182358314524332,"max_iter reached without violation in either orientation",0,0.726896551724138,0,10050,0.000182358314524332,1,0.00498754668053816,0.00498754668053816,0.99961276434775,-0.000387235652250184,"max_iter reached without violation",0,10050,1,0.000182358314524332,0.00498754668053816,0.00498754668053816,0,-0.000182358314524332,"max_iter reached without violation"
10,10050,"reverse",1,0.000182358314524332,0.00498754668053816,0.00498754668053816,0,-0.000182358314524332,"max_iter reached without violation in either orientation",0,0.726896551724138,0,10050,0.000182358314524332,1,0.00498754668053816,0.00498754668053816,0.99961276434775,-0.000387235652250184,"max_iter reached without violation",0,10050,1,0.000182358314524332,0.00498754668053816,0.00498754668053816,0,-0.000182358314524332,"max_iter reached without violation"
