"trial","stopped_at_n","T1_","T2_","s1","s2","beta_allowed","margin","reason","violation","eps"
1,10050,0.388205282049723,0.376242713681993,0.482951331978365,0.479620827028355,0.225066698951188,-0.151176014730805,"max_iter reached without violation",0,1
2,50,0.826859192020479,0.0275269587093167,0.48,0.0707106781186548,0.0636949436834782,0.0361679849741615,"violation at burn-in",1,1
3,10050,0.382476746252881,0.378756813881536,0.481395266325432,0.480346648422704,0.227174109498861,-0.151582704382675,"max_iter reached without violation",0,1
4,10050,0.387602401637274,0.371313587933695,0.482790909402228,0.478157482794132,0.225288486260413,-0.146025101673282,"max_iter reached without violation",0,1
5,50,0.633238465893974,0.0745005976726398,0.496386945839634,0.14,0.134924028210106,0.0604234305374661,"violation at burn-in",1,1
6,10050,0.385693089192783,0.37543809345529,0.482277676893469,0.479385605900486,0.225990883055514,-0.149447210399776,"max_iter reached without violation",0,1
7,10050,0.390516055943974,0.370005527838486,0.483558963884121,0.477760144916248,0.224216612742297,-0.145788915096188,"max_iter reached without violation",0,1
8,160,0.75548267551641,0.0697287809828362,0.476969600708473,0.173992636338438,0.0899528966877594,0.0202241157049232,"violation",1,1
9,110,0.721123744751963,0.100621191018396,0.491666083017817,0.208298895225265,0.102592840936632,0.00197164991823649,"violation",1,1
10,10050,0.380767726481262,0.380667188590515,0.480917252680381,0.480888934137671,0.227802822737395,-0.152864365853119,"max_iter reached without violation",0,1
11,10050,0.381974117746817,0.375236930186944,0.481255340546353,0.47932657602722,0.227359016192788,-0.147877913994155,"max_iter reached without violation",0,1
12,10050,0.379058471564973,0.377851796721709,0.480432807768297,0.480086963979285,0.228431622480819,-0.14942017424089,"max_iter reached without violation",0,1
13,10050,0.386597536598737,0.367489633154043,0.482521778422296,0.476985243899587,0.225658155449243,-0.141831477704801,"max_iter reached without violation",0,1
14,10050,0.386296061384974,0.379058471564973,0.482440609669081,0.480432807768297,0.225769061982409,-0.153289409582564,"max_iter reached without violation",0,1
15,10050,0.384085021273147,0.378857367259035,0.481839303737123,0.480375390532046,0.226582458183156,-0.15227490907588,"max_iter reached without violation",0,1
16,10050,0.38870766029847,0.370609265288759,0.483084413155615,0.477944007696723,0.224881884321782,-0.145727380966976,"max_iter reached without violation",0,1
17,160,0.732064644419067,0.079515200404443,0.484122918275927,0.189983551919633,0.0985679088811853,0.0190527084767423,"violation",1,1
18,10050,0.383883998233102,0.372520903841031,0.481784109143887,0.478520859849967,0.22665641042679,-0.145864493414241,"max_iter reached without violation",0,1
19,10050,0.390315135914537,0.370408022789402,0.483506586657416,0.477882810835002,0.224290527090447,-0.146117495698955,"max_iter reached without violation",0,1
20,10050,0.380063944151408,0.387099979179022,0.480718555339079,0.482656619083639,0.228061729787608,-0.159038249391414,"max_iter reached without violation",0,1
21,10050,0.382376222174683,0.373929288765314,0.481367325559478,0.478940688979139,0.227211090240573,-0.146718198524741,"max_iter reached without violation",0,1
22,10050,0.376142139026153,0.376745574660273,0.479591502950928,0.479767110982171,0.22950448126547,-0.147241093394803,"max_iter reached without violation",0,1
23,10050,0.384989584924653,0.378153476463876,0.482086584611622,0.480173726636811,0.226249687812536,-0.15190378865134,"max_iter reached without violation",0,1
24,10050,0.376645004104239,0.386396553928677,0.4797378990355,0.482467687958491,0.229319487541559,-0.157077066387117,"max_iter reached without violation",0,1
25,10050,0.387200465279896,0.385592591004484,0.482683521160051,0.48225044422291,0.225436350382952,-0.160156240621533,"max_iter reached without violation",0,1
26,10050,0.376745574660273,0.375337512231928,0.479767110982171,0.47935610219963,0.229282489701607,-0.14605502253032,"max_iter reached without violation",0,1
27,10050,0.38026502888819,0.371716039801086,0.480775437353909,0.478278970367406,0.227987754847013,-0.143728284954073,"max_iter reached without violation",0,1
28,10050,0.385291091597542,0.38368297195601,0.482168613780026,0.481728826016569,0.226138769706204,-0.157544202249807,"max_iter reached without violation",0,1
29,10050,0.376745574660273,0.376142139026153,0.479767110982171,0.479591502950928,0.229282489701607,-0.146859649324546,"max_iter reached without violation",0,1
30,10050,0.377650672804471,0.383582457603223,0.480029010368928,0.481701151243105,0.228949522702114,-0.154632934901109,"max_iter reached without violation",0,1
31,10050,0.373124517177481,0.377952357453442,0.478701328085534,0.480115907228816,0.230614602304827,-0.147337755148616,"max_iter reached without violation",0,1
32,10050,0.391821958144206,0.377851796721709,0.483897282780826,0.480086963979285,0.223736198170651,-0.154115598551058,"max_iter reached without violation",0,1
33,50,0.753238465893974,0.0745005976726398,0.496386945839634,0.14,0.0907784952695328,0.016277897596893,"violation at burn-in",1,1
34,10050,0.383381426468469,0.377751235172102,0.481645735257487,0.480057998360672,0.226841296246711,-0.15090993892539,"max_iter reached without violation",0,1
35,10050,0.390315135914537,0.37161542807541,0.483506586657416,0.478248632420438,0.224290527090447,-0.147324900984963,"max_iter reached without violation",0,1
36,10050,0.382677791975745,0.379058471564973,0.481451081299609,0.480432807768297,0.227100148910684,-0.151958322654289,"max_iter reached without violation",0,1
37,10050,0.385693089192783,0.373124517177481,0.482277676893469,0.478701328085534,0.225990883055514,-0.147133634121967,"max_iter reached without violation",0,1
38,70,0.761680056860571,0.0835536454472621,0.489897948556636,0.166598625567009,0.0876730075021432,0.0041193620548811,"violation",1,1
39,10050,0.373526909566423,0.374130473421576,0.478821188907982,0.47900030381739,0.230466570417651,-0.143663903003925,"max_iter reached without violation",0,1
40,10050,0.377851796721709,0.374734007632384,0.480086963979285,0.479178607946357,0.228875533347834,-0.14585847428455,"max_iter reached without violation",0,1
41,10050,0.388104803990281,0.373828695201618,0.482924649837178,0.478910847767002,0.225103662763546,-0.148725032438072,"max_iter reached without violation",0,1
42,80,0.942478733192347,0.01728376158583,0.379967103839267,0.0559016994374947,0.0211608914886729,0.00387712990284288,"violation",1,1
43,10050,0.389109548447265,0.364872549741909,0.483190482880682,0.476164223782817,0.22473403793419,-0.140138511807718,"max_iter reached without violation",0,1
44,50,0.790712364249548,0.0275269587093167,0.489897948556636,0.0707106781186548,0.0769926184839686,0.0494656597746519,"violation at burn-in",1,1
45,10050,0.39453378557849,0.357420815993928,0.484588157647925,0.473742367638018,0.222738572609574,-0.134682243384354,"max_iter reached without violation",0,1
46,10050,0.38448705764654,0.370508644453623,0.481949427442972,0.4779134206037,0.226434557266781,-0.144074087186842,"max_iter reached without violation",0,1
47,10050,0.376041563549901,0.375940987253087,0.47956215643502,0.479532787476512,0.229541480915469,-0.146399506337618,"max_iter reached without violation",0,1
48,10050,0.361449354403772,0.389511423760599,0.475067184179689,0.483296201552616,0.234909654661604,-0.154601769098995,"max_iter reached without violation",0,1
49,10050,0.382979354478326,0.376745574660273,0.481534637424381,0.479767110982171,0.226989210265756,-0.149756364394517,"max_iter reached without violation",0,1
50,10050,0.380767726481262,0.379360121903421,0.480917252680381,0.480518766226589,0.227802822737395,-0.151557299166026,"max_iter reached without violation",0,1
51,10050,0.382577269519855,0.378857367259035,0.481423184904189,0.480375390532046,0.227137129055582,-0.151720238203454,"max_iter reached without violation",0,1
52,10050,0.384185531579624,0.36547654225607,0.48186686784297,0.476355062626045,0.226545482507777,-0.138931059748293,"max_iter reached without violation",0,1
53,10050,0.380164486927054,0.368395415150712,0.48074700748503,0.477265846826811,0.22802474216749,-0.140370672983222,"max_iter reached without violation",0,1
54,10050,0.38770288371576,0.377047281411902,0.48281770146526,0.479854612355437,0.225251520969532,-0.15179576044237,"max_iter reached without violation",0,1
55,10050,0.388205282049723,0.370408022789402,0.482951331978365,0.477882810835002,0.225066698951188,-0.145341323838214,"max_iter reached without violation",0,1
56,10050,0.381169869909227,0.374532832853885,0.48103030435625,0.479119263267456,0.227654882437844,-0.146877950416041,"max_iter reached without violation",0,1
57,10050,0.395236757210694,0.381069335272202,0.484764682200532,0.481002074803682,0.222479963798359,-0.158589371473843,"max_iter reached without violation",0,1
58,10050,0.382175171584048,0.37423106451445,0.481311377450518,0.479030077451914,0.227285052619503,-0.146946011894947,"max_iter reached without violation",0,1
59,10050,0.38900907761372,0.373023917018139,0.483163998369665,0.478671306480792,0.224770999088289,-0.14825291792985,"max_iter reached without violation",0,1
60,10050,0.380767726481262,0.372621508127691,0.480917252680381,0.478550994337936,0.227802822737395,-0.144818685390296,"max_iter reached without violation",0,1
61,10050,0.377751235172102,0.38368297195601,0.480057998360672,0.481728826016569,0.228912527874507,-0.154770444081503,"max_iter reached without violation",0,1
62,10050,0.374633420654478,0.363563795721329,0.479148946857263,0.475747906868054,0.230059507736927,-0.133504287984402,"max_iter reached without violation",0,1
63,10050,0.386396553928677,0.370106152820639,0.482467687958491,0.477790845431263,0.22573209284159,-0.144374059979049,"max_iter reached without violation",0,1
64,10050,0.38026502888819,0.371212972897703,0.480775437353909,0.478127054309181,0.227987754847013,-0.14322521805069,"max_iter reached without violation",0,1
65,10050,0.383481942440756,0.378254034742872,0.481673454324685,0.480202602803354,0.226804318486998,-0.151449716255874,"max_iter reached without violation",0,1
66,10050,0.393529472778918,0.37020677697307,0.484334130545369,0.477821523253148,0.223108038641042,-0.147098738332028,"max_iter reached without violation",0,1
67,10050,0.381370936744203,0.379862856156005,0.481086696752089,0.48066158420013,0.227580914082955,-0.15228194207305,"max_iter reached without violation",0,1
68,10050,0.384688070982106,0.372520903841031,0.482004356616239,0.478520859849967,0.226360608593225,-0.146160295247806,"max_iter reached without violation",0,1
69,10050,0.381169869909227,0.372621508127691,0.48103030435625,0.478550994337936,0.227654882437844,-0.144966625689847,"max_iter reached without violation",0,1
70,10050,0.38147146894244,0.373627505602327,0.481114859603179,0.478851097735641,0.227543930354048,-0.146083575248278,"max_iter reached without violation",0,1
71,10050,0.375236930186944,0.37161542807541,0.47932657602722,0.478248632420438,0.229837488987382,-0.141777939088028,"max_iter reached without violation",0,1
72,10050,0.376544432728545,0.371917260771042,0.479708664670884,0.478339578394479,0.229356485683048,-0.142560775087994,"max_iter reached without violation",0,1
73,10050,0.378455148849159,0.373526909566423,0.480260288081691,0.478821188907982,0.228653572504359,-0.144873337062064,"max_iter reached without violation",0,1
74,10050,0.386999492273266,0.381873589610375,0.482629694993524,0.481227288786376,0.225510284220321,-0.156363305390053,"max_iter reached without violation",0,1
75,10050,0.381672530901125,0.381974117746817,0.481171118631217,0.481255340546353,0.227469963793047,-0.154504153953771,"max_iter reached without violation",0,1
76,10050,0.389410956135129,0.360140228101326,0.483269804783252,0.47464068526039,0.224623156242414,-0.135517071858912,"max_iter reached without violation",0,1
77,10050,0.373225116511825,0.370408022789402,0.478731327126384,0.477882810835002,0.230577593877926,-0.139830428911476,"max_iter reached without violation",0,1
78,10050,0.380868263558363,0.370609265288759,0.480945548969669,0.477944007696723,0.227765837213654,-0.142843428075105,"max_iter reached without violation",0,1
79,10050,0.396642583736605,0.359838101733113,0.485114538477963,0.474541707265919,0.221962789121623,-0.13787531261149,"max_iter reached without violation",0,1
80,10050,0.372822714223842,0.379360121903421,0.478611195562649,0.480518766226589,0.230725629406755,-0.148634492496666,"max_iter reached without violation",0,1
81,10050,0.380566649885978,0.383481942440756,0.480860593337606,0.481673454324685,0.227876794682901,-0.155605147757855,"max_iter reached without violation",0,1
82,10050,0.384386549766182,0.376242713681993,0.481921929692103,0.479620827028355,0.226471532049641,-0.149771181632353,"max_iter reached without violation",0,1
83,10050,0.381672530901125,0.368797963275879,0.481171118631217,0.477389967074974,0.227469963793047,-0.141327999482833,"max_iter reached without violation",0,1
84,10050,0.389511423760599,0.370005527838486,0.483296201552616,0.477760144916248,0.2245861962685,-0.145419331569985,"max_iter reached without violation",0,1
85,10050,0.382175171584048,0.375940987253087,0.481311377450518,0.479532787476512,0.227285052619503,-0.148655934633584,"max_iter reached without violation",0,1
86,10050,0.38448705764654,0.374331654784024,0.481949427442972,0.47905982856897,0.226434557266781,-0.147897097517243,"max_iter reached without violation",0,1
87,10050,0.38368297195601,0.374130473421576,0.481728826016569,0.47900030381739,0.226730363861267,-0.147400109560309,"max_iter reached without violation",0,1
88,10050,0.390114212682525,0.371816650699578,0.483454121839463,0.478309285690652,0.224364442616758,-0.14745220808282,"max_iter reached without violation",0,1
89,10050,0.384587564718469,0.380868263558363,0.48197690308309,0.480945548969669,0.226397582781326,-0.154470680777037,"max_iter reached without violation",0,1
90,10050,0.385793586574302,0.378857367259035,0.482304887498395,0.480375390532046,0.225953912134962,-0.152903455124074,"max_iter reached without violation",0,1
91,10050,0.388908605977827,0.369502390476272,0.483137491914223,0.477606301790929,0.224807960537555,-0.144694429938717,"max_iter reached without violation",0,1
92,10050,0.380667188590515,0.37423106451445,0.480888934137671,0.479030077451914,0.22783980856046,-0.14639125595399,"max_iter reached without violation",0,1
93,10050,0.382175171584048,0.371414202141872,0.481311377450518,0.478187888638114,0.227285052619503,-0.144129149522369,"max_iter reached without violation",0,1
94,10050,0.375337512231928,0.374633420654478,0.47935610219963,0.479148946857263,0.229800486920881,-0.144832933733597,"max_iter reached without violation",0,1
95,10050,0.38036557003496,0.376343287517572,0.480803844949667,0.479650128671417,0.227950767826124,-0.148392519691447,"max_iter reached without violation",0,1
96,10050,0.384688070982106,0.373325715021327,0.482004356616239,0.478761303607585,0.226360608593225,-0.146965106428102,"max_iter reached without violation",0,1
97,10050,0.380466110367507,0.376242713681993,0.480832230276251,0.479620827028355,0.227913781104771,-0.148328932577222,"max_iter reached without violation",0,1
98,10050,0.377147848690787,0.374633420654478,0.479883734671232,0.479148946857263,0.229134501356064,-0.145498919298414,"max_iter reached without violation",0,1
99,10050,0.385592591004484,0.372118478433514,0.48225044422291,0.478400095961058,0.226027854272864,-0.14609062416065,"max_iter reached without violation",0,1
100,10050,0.387903845460637,0.38036557003496,0.482871219619951,0.480803844949667,0.22517759127513,-0.15518797875983,"max_iter reached without violation",0,1
101,10050,0.392826406432125,0.375337512231928,0.484155015524418,0.47935610219963,0.223366682295806,-0.151970829936121,"max_iter reached without violation",0,1
102,10050,0.378555704676745,0.380566649885978,0.480289097201541,0.480860593337606,0.2286165800827,-0.151950069803278,"max_iter reached without violation",0,1
