"trial","stopped_at_n","selected_direction","T1_","T2_","s1","s2","beta_allowed","margin","reason","violation","eps","fwd_violation","fwd_stopped_at_n","fwd_T1_","fwd_T2_","fwd_s1","fwd_s2","fwd_beta_allowed","fwd_margin","fwd_reason","rev_violation","rev_stopped_at_n","rev_T1_","rev_T2_","rev_s1","rev_s2","rev_beta_allowed","rev_margin","rev_reason"
1,50,"forward",0.714489213358372,0.275078575707952,0.499599839871872,0.346987031457949,0.282669906848138,0.00759133114018551,"violation in forward orientation",1,0.01,1,50,0.714489213358372,0.275078575707952,0.499599839871872,0.346987031457949,0.282669906848138,0.00759133114018551,"violation at burn-in",1,140,0.384264590310491,0.61072831954556,0.448296093843234,0.499948976988489,0.611873486352359,0.0011451668067991,"violation"
2,50,"forward",0.861594493296846,0.0745005976726398,0.466476151587624,0.14,0.137028348901427,0.0625277512287874,"violation in forward orientation",1,0.01,1,50,0.861594493296846,0.0745005976726398,0.466476151587624,0.14,0.137028348901427,0.0625277512287874,"violation at burn-in",1,90,0.104606694841303,0.833781791811234,0.206080411011016,0.458257569495584,0.894341990397419,0.0605601985861854,"violation"
3,50,"forward",0.654021127930363,0.329560327676681,0.498397431775085,0.384187454245971,0.342536324773269,0.0129759970965878,"violation in forward orientation",1,0.01,1,50,0.654021127930363,0.329560327676681,0.498397431775085,0.384187454245971,0.342536324773269,0.0129759970965878,"violation at burn-in",1,120,0.425601814323196,0.559167193522576,0.46180503341658,0.495535624910617,0.57012081633153,0.0109536228089542,"violation"
4,90,"forward",0.774015565121441,0.202857682846242,0.481894409826699,0.314269680527354,0.223735852181417,0.0208781693351742,"violation in forward orientation",1,0.01,1,90,0.774015565121441,0.202857682846242,0.481894409826699,0.314269680527354,0.223735852181417,0.0208781693351742,"violation",1,140,0.294306564960633,0.694990039892699,0.4,0.493787940934411,0.702735604887545,0.00774556499484647,"violation"
5,50,"reverse",0.329560327676681,0.654021127930363,0.384187454245971,0.498397431775084,0.667127535965855,0.0131064080354922,"violation in reverse orientation",1,0.01,1,100,0.668432477215472,0.310945864384819,0.499099188538711,0.4,0.328268370809445,0.0173225064246267,"violation",1,50,0.329560327676681,0.654021127930363,0.384187454245971,0.498397431775084,0.667127535965855,0.0131064080354922,"violation at burn-in"
6,70,"reverse",0.239040057693904,0.734750092269623,0.334724986110285,0.494871659305394,0.758557549786463,0.02380745751684,"violation in reverse orientation",1,0.01,1,160,0.635437582923543,0.317349074358807,0.499374608885954,0.417582327212252,0.360934960417741,0.0435858860589342,"violation",1,70,0.239040057693904,0.734750092269623,0.334724986110285,0.494871659305394,0.758557549786463,0.02380745751684,"violation"
7,50,"forward",0.633238465893974,0.152451248673278,0.496386945839634,0.237486841740758,0.363112195867261,0.210660947193983,"violation in forward orientation",1,0.01,1,50,0.633238465893974,0.152451248673278,0.496386945839634,0.237486841740758,0.363112195867261,0.210660947193983,"violation at burn-in",1,220,0.357392939755917,0.635643093136577,0.445361771415123,0.498323636085016,0.639015201484834,0.00337210834825707,"violation"
8,50,"reverse",0.116284945699819,0.753238465893974,0.195959179422654,0.496386945839634,0.882546371166524,0.12930790527255,"violation in reverse orientation",1,0.01,1,160,0.666123923094054,0.302968040723733,0.49682586235018,0.409076704298839,0.330553954433556,0.0275859137098231,"violation",1,50,0.116284945699819,0.753238465893974,0.195959179422654,0.496386945839634,0.882546371166524,0.12930790527255,"violation at burn-in"
9,50,"reverse",0.302716065288689,0.654021127930363,0.366606055596467,0.498397431775084,0.694241587676098,0.040220459745735,"violation in reverse orientation",1,0.01,1,50,0.612137383051339,0.355715993350399,0.493558507170123,0.4,0.384003319427539,0.0282873260771394,"violation at burn-in",1,50,0.302716065288689,0.654021127930363,0.366606055596467,0.498397431775084,0.694241587676098,0.040220459745735,"violation at burn-in"
10,50,"forward",0.674489213358372,0.302716065288689,0.499599839871872,0.366606055596467,0.322271900198104,0.0195558349094154,"violation in forward orientation",1,0.01,1,50,0.674489213358372,0.302716065288689,0.499599839871872,0.366606055596467,0.322271900198104,0.0195558349094154,"violation at burn-in",1,160,0.331611385567067,0.6600216206812,0.42555111326373,0.49749371855331,0.665055864600972,0.00503424391977203,"violation"
11,50,"reverse",0.381261936620275,0.501594493296846,0.41424630354416,0.466476151587624,0.614906317213858,0.113311823917013,"violation in reverse orientation",1,0.01,1,60,0.694529912104096,0.25432432379694,0.499722145018832,0.339934634239519,0.302430609736683,0.0481062859397437,"violation",1,50,0.381261936620275,0.501594493296846,0.41424630354416,0.466476151587624,0.614906317213858,0.113311823917013,"violation at burn-in"
12,70,"reverse",0.239040057693904,0.734750092269623,0.334724986110285,0.494871659305394,0.758557549786463,0.02380745751684,"violation in reverse orientation",1,0.01,1,80,0.642042346118264,0.338978878076396,0.499843725578305,0.409076704298839,0.354395915714855,0.015417037638459,"violation",1,70,0.239040057693904,0.734750092269623,0.334724986110285,0.494871659305394,0.758557549786463,0.02380745751684,"violation"
13,100,"forward",0.587987176577287,0.381661638370415,0.49749371855331,0.438634243989226,0.407913227332183,0.0262515889617674,"violation in forward orientation",1,0.01,1,100,0.587987176577287,0.381661638370415,0.49749371855331,0.438634243989226,0.407913227332183,0.0262515889617674,"violation",1,120,0.331038786191009,0.660018390556222,0.417582327212252,0.498887651569859,0.665634218696431,0.00561582814020889,"violation"
