"trial","stopped_at_n","selected_direction","T1_","T2_","s1","s2","beta_allowed","margin","reason","violation","eps","fwd_violation","fwd_stopped_at_n","fwd_T1_","fwd_T2_","fwd_s1","fwd_s2","fwd_beta_allowed","fwd_margin","fwd_reason","rev_violation","rev_stopped_at_n","rev_T1_","rev_T2_","rev_s1","rev_s2","rev_beta_allowed","rev_margin","rev_reason"
1,6780,"forward",0.167367661037866,0.696249078285572,0.358940811906724,0.467960049781725,0.697966546863597,0.00171746857802502,"violation in forward orientation",1,0.590344827586207,1,6780,0.167367661037866,0.696249078285572,0.358940811906724,0.467960049781725,0.697966546863597,0.00171746857802502,"violation",0,10050,0.714013167818402,0.167125177695797,0.459463454125126,0.360881969823459,0.158475647954951,-0.0086495297408461,"max_iter reached without violation"
2,60,"forward",0.91720576149664,0.022974813582176,0.422952584681651,0.0645497224367903,0.0458792822510972,0.0229044686689212,"violation in forward orientation",1,0.590344827586207,1,60,0.91720576149664,0.022974813582176,0.422952584681651,0.0645497224367903,0.0458792822510972,0.0229044686689212,"violation",0,10050,0.742863944554854,0.153306415705507,0.445721123703868,0.347605371534226,0.14248838902266,-0.0108180266828473,"max_iter reached without violation"
3,7090,"forward",0.15118599773603,0.727113056434817,0.343500080435508,0.454728748929926,0.727168147783612,5.5091348795111e-05,"violation in forward orientation",1,0.590344827586207,1,7090,0.15118599773603,0.727113056434817,0.343500080435508,0.454728748929926,0.727168147783612,5.5091348795111e-05,"violation",0,10050,0.698625105015487,0.174844209819632,0.465858702914214,0.367893086555817,0.167002730145626,-0.00784147967400567,"max_iter reached without violation"
4,6410,"forward",0.147055965722771,0.734558543305392,0.33863996113037,0.451574041843584,0.734621247282005,6.27039766122328e-05,"violation in forward orientation",1,0.590344827586207,1,6410,0.147055965722771,0.734558543305392,0.33863996113037,0.451574041843584,0.734621247282005,6.27039766122328e-05,"violation",0,10050,0.786504140244343,0.120763799088565,0.420096155872329,0.312081886820722,0.118305778110067,-0.00245802097849798,"max_iter reached without violation"
5,10050,"reverse",0.741789697686053,0.146279375597264,0.446275800427579,0.340470484023688,0.143083668068545,-0.00319570752871906,"max_iter reached without violation in either orientation",0,0.590344827586207,0,10050,0.174638504261735,0.692640301976055,0.36770982389817,0.468179336675402,0.684845506200778,-0.00779479577527697,"max_iter reached without violation",0,10050,0.741789697686053,0.146279375597264,0.446275800427579,0.340470484023688,0.143083668068545,-0.00319570752871906,"max_iter reached without violation"
6,9170,"reverse",0.742681285306602,0.14253474349713,0.446142594893643,0.33605130844359,0.142589607118964,5.48636218346832e-05,"violation in reverse orientation",1,0.590344827586207,0,10050,0.139966699770771,0.759352446864071,0.333823712953286,0.436766154986543,0.747414611677534,-0.0119378351865361,"max_iter reached without violation",1,9170,0.742681285306602,0.14253474349713,0.446142594893643,0.33605130844359,0.142589607118964,5.48636218346832e-05,"violation"
7,10050,"forward",0.175152754528386,0.689695749413452,0.368167607810498,0.469287625527649,0.683917484724887,-0.00577826468856524,"max_iter reached without violation in either orientation",0,0.590344827586207,0,10050,0.175152754528386,0.689695749413452,0.368167607810498,0.469287625527649,0.683917484724887,-0.00577826468856524,"max_iter reached without violation",0,10050,0.74989230328868,0.145865696541986,0.442006401726098,0.340041929981715,0.138593721230068,-0.00727197531191731,"max_iter reached without violation"
8,530,"reverse",0.138024061126776,0.745577397122679,0.3,0.463797994352802,0.750920317942434,0.00534292081975529,"violation in reverse orientation",1,0.590344827586207,0,10050,0.162076264500852,0.712054163041342,0.356142408195756,0.460312542132672,0.707515457077659,-0.004538705963683,"max_iter reached without violation",1,530,0.138024061126776,0.745577397122679,0.3,0.463797994352802,0.750920317942434,0.00534292081975529,"violation"
9,10050,"reverse",0.766270423686902,0.134370889275047,0.432753877987128,0.327733462655244,0.129518012315106,-0.00485287695994091,"max_iter reached without violation in either orientation",0,0.590344827586207,0,10050,0.150517494741641,0.735830286916081,0.344805968857125,0.449290919272071,0.728374535365152,-0.00745575155092915,"max_iter reached without violation",0,10050,0.766270423686902,0.134370889275047,0.432753877987128,0.327733462655244,0.129518012315106,-0.00485287695994091,"max_iter reached without violation"
10,10050,"reverse",0.684982828347647,0.177414919355421,0.471016116261088,0.370167187817825,0.174562409093165,-0.00285251026225547,"max_iter reached without violation in either orientation",0,0.590344827586207,0,10050,0.178956808475376,0.68616124653417,0.371516972385883,0.470589133239876,0.677052648696219,-0.00910859783795093,"max_iter reached without violation",0,10050,0.684982828347647,0.177414919355421,0.471016116261088,0.370167187817825,0.174562409093165,-0.00285251026225547,"max_iter reached without violation"
11,10050,"forward",0.175666959458243,0.687732276201013,0.368624151749903,0.470014500681332,0.682989545064253,-0.00474273113676005,"max_iter reached without violation in either orientation",0,0.590344827586207,0,10050,0.175666959458243,0.687732276201013,0.368624151749903,0.470014500681332,0.682989545064253,-0.00474273113676005,"max_iter reached without violation",0,10050,0.740519974399435,0.153512939489302,0.446926984098763,0.347811012880093,0.143787267667993,-0.00972567182130959,"max_iter reached without violation"
